Warning: 'advanced_options.json' have been modified after configuration by elwood. This is possible but not recommended.
#"Step","Time Remaining"
20000,--
40000,4:23:13
60000,4:22:59
80000,4:22:50
100000,4:24:07
120000,4:23:40
140000,4:23:17
160000,4:23:03
180000,4:22:49
200000,4:22:32
220000,4:22:15
240000,4:21:58
260000,4:21:45
280000,4:21:32
300000,4:21:20
320000,4:21:07
340000,4:20:55
360000,4:20:40
380000,4:20:29
400000,4:20:17
420000,4:20:05
440000,4:19:53
460000,4:19:41
480000,4:19:28
500000,4:19:15
520000,4:19:03
540000,4:18:50
560000,4:18:36
580000,4:18:23
600000,4:18:10
620000,4:17:57
640000,4:17:44
660000,4:17:31
680000,4:17:18
700000,4:17:06
720000,4:16:53
740000,4:16:40
760000,4:16:27
780000,4:16:15
800000,4:16:02
820000,4:15:50
840000,4:15:37
860000,4:15:24
880000,4:15:11
900000,4:14:59
920000,4:14:46
940000,4:14:33
960000,4:14:19
980000,4:14:07
1000000,4:13:54
1020000,4:13:41
1040000,4:13:27
1060000,4:13:13
1080000,4:13:00
1100000,4:12:47
1120000,4:12:33
1140000,4:12:20
1160000,4:12:07
1180000,4:11:54
1200000,4:11:41
1220000,4:11:29
1240000,4:11:16
1260000,4:11:03
1280000,4:10:50
1300000,4:10:37
1320000,4:10:25
1340000,4:10:12
1360000,4:09:59
1380000,4:09:46
1400000,4:09:35
1420000,4:09:23
1440000,4:09:10
1460000,4:08:58
1480000,4:08:45
1500000,4:08:32
1520000,4:08:20
1540000,4:08:07
1560000,4:07:54
1580000,4:07:42
1600000,4:07:29
1620000,4:07:17
1640000,4:07:04
1660000,4:06:52
1680000,4:06:39
1700000,4:06:27
1720000,4:06:14
1740000,4:06:01
1760000,4:05:49
1780000,4:05:36
1800000,4:05:23
1820000,4:05:11
1840000,4:04:58
1860000,4:04:46
1880000,4:04:33
1900000,4:04:21
1920000,4:04:08
1940000,4:03:55
1960000,4:03:42
1980000,4:03:30
2000000,4:03:17
2020000,4:03:04
2040000,4:02:51
2060000,4:02:39
2080000,4:02:26
2100000,4:02:13
2120000,4:02:00
2140000,4:01:47
2160000,4:01:34
2180000,4:01:21
2200000,4:01:09
2220000,4:00:56
2240000,4:00:43
2260000,4:00:29
2280000,4:00:16
2300000,4:00:03
2320000,3:59:50
2340000,3:59:38
2360000,3:59:25
2380000,3:59:12
2400000,3:58:59
2420000,3:58:46
2440000,3:58:34
2460000,3:58:21
2480000,3:58:08
2500000,3:57:56
2520000,3:57:42
2540000,3:57:30
2560000,3:57:17
2580000,3:57:04
2600000,3:56:51
2620000,3:56:37
2640000,3:56:24
2660000,3:56:11
2680000,3:55:58
2700000,3:55:45
2720000,3:55:33
2740000,3:55:19
2760000,3:55:06
2780000,3:54:53
2800000,3:54:40
2820000,3:54:27
2840000,3:54:14
2860000,3:54:01
2880000,3:53:48
2900000,3:53:35
2920000,3:53:22
2940000,3:53:10
2960000,3:52:57
2980000,3:52:44
3000000,3:52:31
3020000,3:52:19
3040000,3:52:05
3060000,3:51:52
3080000,3:51:39
3100000,3:51:27
3120000,3:51:14
3140000,3:51:01
3160000,3:50:48
3180000,3:50:35
3200000,3:50:23
3220000,3:50:10
3240000,3:49:57
3260000,3:49:44
3280000,3:49:31
3300000,3:49:19
3320000,3:49:06
3340000,3:48:54
3360000,3:48:41
3380000,3:48:29
3400000,3:48:16
3420000,3:48:04
3440000,3:47:51
3460000,3:47:39
3480000,3:47:26
3500000,3:47:14
3520000,3:47:01
3540000,3:46:48
3560000,3:46:36
3580000,3:46:23
3600000,3:46:11
3620000,3:45:58
3640000,3:45:46
3660000,3:45:33
3680000,3:45:21
3700000,3:45:08
3720000,3:44:55
3740000,3:44:43
3760000,3:44:30
3780000,3:44:18
3800000,3:44:05
3820000,3:43:52
3840000,3:43:39
3860000,3:43:26
3880000,3:43:14
3900000,3:43:01
3920000,3:42:48
3940000,3:42:35
3960000,3:42:23
3980000,3:42:10
4000000,3:41:57
4020000,3:41:45
4040000,3:41:32
4060000,3:41:20
4080000,3:41:07
4100000,3:40:54
4120000,3:40:42
4140000,3:40:29
4160000,3:40:16
4180000,3:40:04
4200000,3:39:51
4220000,3:39:39
4240000,3:39:26
4260000,3:39:13
4280000,3:39:00
4300000,3:38:48
4320000,3:38:35
4340000,3:38:22
4360000,3:38:09
4380000,3:37:57
4400000,3:37:44
4420000,3:37:31
4440000,3:37:19
4460000,3:37:06
4480000,3:36:53
4500000,3:36:40
4520000,3:36:27
4540000,3:36:15
4560000,3:36:02
4580000,3:35:49
4600000,3:35:36
4620000,3:35:23
4640000,3:35:10
4660000,3:34:58
4680000,3:34:45
4700000,3:34:32
4720000,3:34:19
4740000,3:34:07
4760000,3:33:54
4780000,3:33:41
4800000,3:33:29
4820000,3:33:16
4840000,3:33:03
4860000,3:32:50
4880000,3:32:38
4900000,3:32:25
4920000,3:32:12
4940000,3:32:00
4960000,3:31:47
4980000,3:31:34
5000000,3:31:21
5020000,3:31:08
5040000,3:30:56
5060000,3:30:43
5080000,3:30:30
5100000,3:30:17
5120000,3:30:05
5140000,3:29:52
5160000,3:29:39
5180000,3:29:27
5200000,3:29:14
5220000,3:29:01
5240000,3:28:48
5260000,3:28:35
5280000,3:28:23
5300000,3:28:10
5320000,3:27:57
5340000,3:27:44
5360000,3:27:32
5380000,3:27:19
5400000,3:27:07
5420000,3:26:54
5440000,3:26:41
5460000,3:26:28
5480000,3:26:16
5500000,3:26:03
5520000,3:25:50
5540000,3:25:37
5560000,3:25:25
5580000,3:25:12
5600000,3:24:59
5620000,3:24:47
5640000,3:24:34
5660000,3:24:21
5680000,3:24:08
5700000,3:23:56
5720000,3:23:43
5740000,3:23:30
5760000,3:23:17
5780000,3:23:05
5800000,3:22:52
5820000,3:22:39
5840000,3:22:27
5860000,3:22:14
5880000,3:22:01
5900000,3:21:49
5920000,3:21:36
5940000,3:21:23
5960000,3:21:11
5980000,3:20:58
6000000,3:20:45
6020000,3:20:32
6040000,3:20:20
6060000,3:20:07
6080000,3:19:54
6100000,3:19:42
6120000,3:19:29
6140000,3:19:16
6160000,3:19:03
6180000,3:18:51
6200000,3:18:38
6220000,3:18:25
6240000,3:18:13
6260000,3:18:00
6280000,3:17:47
6300000,3:17:35
6320000,3:17:22
6340000,3:17:09
6360000,3:16:56
6380000,3:16:44
6400000,3:16:31
6420000,3:16:18
6440000,3:16:05
6460000,3:15:52
6480000,3:15:40
6500000,3:15:27
6520000,3:15:14
6540000,3:15:01
6560000,3:14:48
6580000,3:14:36
6600000,3:14:23
6620000,3:14:10
6640000,3:13:57
6660000,3:13:44
6680000,3:13:32
6700000,3:13:19
6720000,3:13:06
6740000,3:12:53
6760000,3:12:41
6780000,3:12:28
6800000,3:12:15
6820000,3:12:02
6840000,3:11:50
6860000,3:11:37
6880000,3:11:24
6900000,3:11:12
6920000,3:10:59
6940000,3:10:46
6960000,3:10:34
6980000,3:10:21
7000000,3:10:08
7020000,3:09:55
7040000,3:09:43
7060000,3:09:30
7080000,3:09:17
7100000,3:09:05
7120000,3:08:52
7140000,3:08:39
7160000,3:08:26
7180000,3:08:14
7200000,3:08:01
7220000,3:07:48
7240000,3:07:36
7260000,3:07:23
7280000,3:07:10
7300000,3:06:58
7320000,3:06:45
7340000,3:06:32
7360000,3:06:19
7380000,3:06:07
7400000,3:05:54
7420000,3:05:41
7440000,3:05:28
7460000,3:05:16
7480000,3:05:03
7500000,3:04:50
7520000,3:04:38
7540000,3:04:25
7560000,3:04:12
7580000,3:04:00
7600000,3:03:47
7620000,3:03:34
7640000,3:03:22
7660000,3:03:09
7680000,3:02:56
7700000,3:02:44
7720000,3:02:31
7740000,3:02:18
7760000,3:02:05
7780000,3:01:53
7800000,3:01:40
7820000,3:01:27
7840000,3:01:15
7860000,3:01:02
7880000,3:00:49
7900000,3:00:36
7920000,3:00:24
7940000,3:00:11
7960000,2:59:58
7980000,2:59:46
8000000,2:59:33
8020000,2:59:20
8040000,2:59:07
8060000,2:58:55
8080000,2:58:42
8100000,2:58:29
8120000,2:58:16
8140000,2:58:04
8160000,2:57:51
8180000,2:57:39
8200000,2:57:26
8220000,2:57:13
8240000,2:57:00
8260000,2:56:48
8280000,2:56:35
8300000,2:56:22
8320000,2:56:10
8340000,2:55:57
8360000,2:55:44
8380000,2:55:32
8400000,2:55:19
8420000,2:55:06
8440000,2:54:54
8460000,2:54:41
8480000,2:54:28
8500000,2:54:16
8520000,2:54:03
8540000,2:53:50
8560000,2:53:38
8580000,2:53:25
8600000,2:53:12
