#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
2000,406172.42510813044,100507.98863128014,469.1036708173231,242.05305466407168,1.1835370533098648
4000,405151.42510813044,101831.73713253578,475.2820382250726,242.55018231783257,1.1811112913795767
6000,404465.30010813044,100377.84961287491,468.49626943478813,241.90096254883616,1.1842811869916856
8000,405602.55010813044,100699.3839459198,469.9969753784569,241.54635752747998,1.1860197851634968
10000,405794.55010813044,100426.31442442816,468.7224705687945,243.4178074170282,1.1769014029896585
12000,405551.55010813044,100772.96260604635,470.3403910614212,243.13634461786683,1.178263823584338
14000,405068.36260813044,99986.53466416348,466.66987452443277,243.16199661560287,1.1781395244695267
16000,405211.11260813044,100760.54475322273,470.2824328789667,242.47990957663453,1.1814535874825822
18000,405703.11260813044,99667.35748107405,465.1801701709045,241.74653473198688,1.1850377064530528
20000,405565.55010813044,100735.24730887805,470.16436142846817,242.47843604779683,1.1814607671145525
22000,405175.61260813044,99381.98575756,463.84824695891973,242.44799525305615,1.181609106574602
24000,405159.30010813044,100500.9719697414,469.0709217619542,243.15462461972706,1.1781752434682053
26000,405596.80010813044,100398.3481685638,468.59194290165436,244.4880684993054,1.1717494469983958
28000,406421.92510813044,101339.64925160026,472.9853030654583,243.4668504956649,1.1766643322429144
30000,405572.67510813044,100828.57363059185,470.5999459098215,241.99986686820225,1.1837971762926167
32000,404318.73760813044,101625.82446379028,474.32097642200864,243.32236317877883,1.1773630476015038
34000,405074.17510813044,100503.25392710837,469.08157240368,241.5970297949338,1.1857710308149423
36000,404475.23760813044,100723.33729757261,470.1087735085531,242.41143482917988,1.1817873165250643
38000,404242.67510813044,100279.12525375112,468.0354905465153,243.5313202250976,1.1763528354257382
40000,405131.67510813044,99840.01440155599,465.9860165149919,242.92778691119065,1.1792753834558156
42000,404928.30010813044,99642.48293678276,465.06407253333504,243.5991961276956,1.1760250592600223
44000,405355.67510813044,100604.27324195381,469.5530626012532,242.74577918636083,1.1801595892706809
46000,406102.17510813044,101118.16878428799,471.9515812524423,243.36983333949217,1.1771333987073878
48000,405793.73760813044,101238.11181748612,472.5113946357209,242.33680768241933,1.1821512456217356
50000,406020.67510813044,100363.40843395633,468.4288677273826,243.99462345606264,1.1741191465776488
52000,406315.80010813044,100796.55750903871,470.4505161943289,243.6382429436924,1.1758365829619593
54000,405871.86260813044,100932.86891615763,471.0867261346983,244.15768411999642,1.1733350113239565
56000,405621.05010813044,101043.46706967824,471.6029239067229,243.48016435771297,1.1765999904652682
58000,404912.11260813044,101240.96636253619,472.5247177315239,243.97034165427743,1.1742360039308666
60000,406127.67510813044,100679.30910418136,469.90327952324355,242.7526469194661,1.180126201288372
62000,406198.30010813044,100281.7839147267,468.0478993872461,243.09172803475673,1.1784800798355708
64000,404869.92510813044,102272.39144134568,477.3387160736616,243.58581552118855,1.1760896604295392
66000,406008.23760813044,100116.50953669054,467.27650978444314,243.74485596102704,1.175322276780983
68000,404820.73760813044,101361.42956547812,473.086958917205,243.70030282582886,1.1755371484561168
70000,406078.92510813044,100595.31838079402,469.5112673340419,244.82117047033498,1.170155172901927
72000,405819.11260813044,100976.3821792677,471.28981677189194,243.88216382366076,1.1746605597156572
74000,405138.67510813044,99746.28889929003,465.5485689273831,243.01653950368757,1.1788446977594293
76000,406171.98760813044,101004.56157281017,471.42133922231795,245.01636677227236,1.1692229496163877
78000,404869.42510813044,100577.02176780603,469.42587105427276,242.92905763491822,1.1792692148515913
80000,405743.67510813044,99761.30176217156,465.6186388709081,242.466024996948,1.1815212422663053
82000,405830.30010813044,100169.5771166127,467.5241935445291,243.32314834378465,1.1773592484386604
84000,405050.05010813044,101265.22043014225,472.63791940137315,242.0882720433352,1.1833648802717947
86000,404976.48760813044,101184.19877855573,472.25976484179535,242.68121134896535,1.1804735828923427
88000,405788.17510813044,101064.34893039573,471.70038638358136,242.77449419449513,1.1800200017397993
90000,404452.23760813044,100720.22169132275,470.0942319547072,242.06962793883406,1.1834560225546107
92000,405067.55010813044,100992.66946806386,471.3658348781737,242.2281058850995,1.182681745435675
94000,404502.42510813044,99382.18366474984,463.8491706565332,241.2513787684008,1.1874699349875386
96000,405694.42510813044,100634.22419150197,469.69285348324024,243.0900296399486,1.1784883135111848
