#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
2000,393763.80010813044,91364.32904510293,426.42721957208545
4000,392113.17510813044,91272.48437119531,425.9985504258632
6000,392207.42510813044,90761.69461732637,423.61452750570675
8000,392466.61260813044,89871.36253881035,419.45905636390046
10000,392948.67510813044,89235.37739278097,416.49070558252953
12000,392793.61260813044,89748.17169223598,418.8840843728566
14000,392538.98760813044,90456.46001348994,422.1898977317946
16000,392242.80010813044,90441.18963929173,422.11862589869276
18000,393068.42510813044,91477.75375146588,426.95660979112
20000,390959.73760813044,91280.40859500365,426.0355353713137
22000,392377.92510813044,90543.1304606162,422.59441706853573
24000,392631.23760813044,90788.01344370306,423.73736608036177
26000,391774.30010813044,90735.14520476479,423.4906127098752
28000,391390.80010813044,91138.99674505275,425.3755199952982
30000,392375.86260813044,90439.9434861471,422.1128096942048
32000,393314.73760813044,90985.78055797983,424.66040991536
34000,391740.42510813044,90817.47003575845,423.874849634168
36000,391886.42510813044,90870.94625431305,424.124440644465
38000,392645.55010813044,90532.2120073759,422.54345707456486
40000,393069.42510813044,90529.35249732796,422.5301108054922
42000,394178.55010813044,91738.32580823987,428.1727848435681
44000,393095.17510813044,90863.2907308396,424.0887098114006
46000,392665.92510813044,90373.9932270734,421.80499825509304
48000,391460.73760813044,91167.11511247605,425.5067576168573
50000,393685.30010813044,90842.5309407725,423.991817078211
52000,392272.30010813044,90236.88291639439,421.16505957039425
54000,392081.55010813044,90519.54224376008,422.48432314201375
56000,392405.92510813044,89895.10447117302,419.5698677309897
58000,391651.42510813044,91208.05950361409,425.69785848798006
60000,392529.86260813044,90743.94324929,423.53167606253993
62000,392678.36260813044,90153.99455502373,420.7781924654355
64000,391589.67510813044,90758.26988877804,423.5985431769439
66000,392951.55010813044,90744.02498453401,423.5320575476689
68000,391412.23760813044,90555.71352301398,422.65314633813216
70000,392034.67510813044,90116.21890468278,420.6018811444771
72000,392797.05010813044,90618.91464635008,422.9481266611939
74000,390848.36260813044,89965.00504284934,419.8961165716255
76000,392250.67510813044,90382.73691314552,421.8458078990703
78000,391967.55010813044,90072.22770792362,420.39655983455543
80000,391757.48760813044,90200.88872116979,420.9970628833854
82000,391526.48760813044,90158.35883337958,420.7985619805862
84000,391531.23760813044,91212.16649059625,425.7170271400999
86000,392583.55010813044,90674.89690901409,423.2094141993685
88000,392490.61260813044,91006.7958646114,424.7584952279653
90000,392606.55010813044,91482.16005714377,426.9771754615348
92000,392833.98760813044,91243.77662107372,425.8645619623953
94000,393415.42510813044,91145.30907147704,425.4049816882179
96000,392515.67510813044,91861.58221809752,428.7480628399083
98000,392154.92510813044,91364.82961091422,426.4295558765201
100000,391935.55010813044,90409.37809692253,421.9701510211932
102000,392099.17510813044,90554.71057502506,422.64846525168673
104000,392600.42510813044,90930.24248306674,424.4011955467646
106000,391632.36260813044,90498.66717947996,422.3868923863524
108000,392127.11260813044,90805.79329195782,423.8203504500269
110000,392093.48760813044,89842.86960990867,419.32607054135894
112000,391925.05010813044,90624.27849536785,422.9731614996999
114000,392454.30010813044,91056.0578441685,424.98841700589225
116000,392173.80010813044,90326.98295589781,421.5855859369789
118000,392584.55010813044,90755.6868193585,423.58648714673984
120000,392666.23760813044,91389.99274821207,426.5470004720836
122000,392509.17510813044,90242.83737765066,421.1928509894754
124000,391867.80010813044,90021.43582557049,420.1594974996699
126000,391887.67510813044,90296.68023792002,421.4441532366263
128000,392435.92510813044,90751.17331855535,423.5654211615995
130000,392487.92510813044,90831.00614755275,423.9380270971515
132000,392080.73760813044,91390.99927616352,426.55169826738563
134000,392498.55010813044,90415.26085480116,421.99760777714846
136000,392574.11260813044,90480.67143784184,422.3029003716232
138000,392291.30010813044,90827.83753479645,423.9232381445954
140000,392349.17510813044,90286.13786983397,421.3949485551316
142000,392750.05010813044,91499.41606059088,427.05771487607194
144000,392357.30010813044,90912.71495755273,424.3193888498946
146000,391771.11260813044,91028.79188972525,424.8611578746346
148000,392084.42510813044,90384.51962586044,421.8541284026438
150000,392114.30010813044,92198.49808488693,430.32055943465485
152000,391441.42510813044,91113.1349840886,425.2548146944829
154000,392107.67510813044,89756.09658669005,418.9210724484302
156000,391947.86260813044,90379.05502049485,421.8286233012934
158000,392303.42510813044,89556.7504142914,417.99065863248325
160000,392147.80010813044,91191.35476319806,425.6198919983913
162000,392147.17510813044,91263.39167387784,425.95611183220166
164000,392068.05010813044,90630.7842345431,423.0035259132162
166000,392025.73760813044,90392.64827311877,421.8920674592262
168000,392047.80010813044,90178.3651684646,420.8919380928316
170000,393035.30010813044,90951.07332129683,424.498419884979
172000,391855.61260813044,91035.17112871166,424.8909318703766
174000,394127.30010813044,91709.81482443993,428.03971475290865
176000,392872.98760813044,91318.08327633189,426.21137543685103
178000,391873.61260813044,91761.1019429597,428.27908851703324
180000,392361.48760813044,91109.10243850993,425.23599348475165
182000,392415.67510813044,90571.09471115796,422.7249353761791
184000,392488.30010813044,90486.78349814628,422.33142735703115
186000,392888.86260813044,89945.0915256273,419.8031736707182
188000,392295.23760813044,89855.29940349434,419.3840844552572
190000,392052.92510813044,91060.79216962797,425.01051365196105
192000,393402.86260813044,90649.55957754166,423.09115658259304
194000,391849.98760813044,90783.2207071128,423.7149968104324
196000,392491.23760813044,90212.77689351048,421.0525488737059
198000,392544.80010813044,90999.78020286612,424.7257508389596
200000,392634.48760813044,91358.89975515741,426.40187929935627
202000,393317.67510813044,89658.27920006984,418.464526697608
204000,391480.80010813044,90306.97469931061,421.4922008564541
206000,393077.67510813044,90314.70414083335,421.52827668924175
208000,392107.11260813044,90338.12973218405,421.6376115893162
210000,391901.80010813044,90426.71935093869,422.05108832803154
212000,391723.30010813044,90439.54661787418,422.1109573801133
214000,392669.36260813044,91664.36653226917,427.82759270191525
216000,392207.05010813044,90578.6378740801,422.76014178578436
218000,393033.73760813044,89880.52011702629,419.50179777794517
220000,392088.86260813044,90185.71966368872,420.92626392855493
222000,392250.05010813044,90779.99360070843,423.6999348488806
224000,391822.92510813044,91373.96728377417,426.4722043857551
226000,392081.05010813044,90437.03166101198,422.0992192535019
228000,391709.23760813044,91536.79954898497,427.23219584890245
230000,392305.55010813044,91681.80290822964,427.90897397399317
232000,392425.73760813044,91221.55218779435,425.7608332600787
234000,392726.80010813044,91875.10608825227,428.81118316715435
236000,393391.80010813044,91761.1697383197,428.2794049401621
238000,392322.61260813044,90503.96357588784,422.4116124014564
240000,391565.98760813044,90869.60540262493,424.11818245088773
242000,392175.42510813044,91164.48536053207,425.49448370403644
244000,392739.42510813044,89704.601380595,418.68072747150205
246000,393759.98760813044,90995.52156172565,424.7058743672592
248000,392865.05010813044,90316.22492796951,421.5353747004329
250000,393253.30010813044,90624.87842623843,422.9759615733802
252000,392506.42510813044,90705.63652034383,423.3528860239533
254000,393281.48760813044,90911.21376585518,424.31238229702745
256000,392760.67510813044,91118.58579968708,425.2802554344779
258000,392657.30010813044,92088.87477849424,429.80891159316235
260000,392194.05010813044,91416.92642045859,426.67270873360087
