Warning: 'advanced_options.json' have been modified after configuration by elwood. This is possible but not recommended.
#"Step","Time Remaining"
20000,--
40000,3:55:54
60000,3:56:26
80000,3:56:59
100000,3:59:12
120000,3:59:22
140000,3:59:33
160000,3:59:47
180000,3:59:57
200000,4:00:06
220000,4:00:11
240000,4:00:14
260000,4:00:14
280000,4:00:13
300000,4:00:12
320000,4:00:07
340000,4:00:01
360000,3:59:55
380000,3:59:48
400000,3:59:41
420000,3:59:33
440000,3:59:24
460000,3:59:15
480000,3:59:06
500000,3:58:57
520000,3:58:48
540000,3:58:39
560000,3:58:30
580000,3:58:20
600000,3:58:11
620000,3:58:01
640000,3:57:51
660000,3:57:41
680000,3:57:31
700000,3:57:21
720000,3:57:11
740000,3:57:00
760000,3:56:50
780000,3:56:39
800000,3:56:29
820000,3:56:18
840000,3:56:08
860000,3:55:57
880000,3:55:46
900000,3:55:36
920000,3:55:25
940000,3:55:14
960000,3:55:03
980000,3:54:52
1000000,3:54:41
1020000,3:54:30
1040000,3:54:19
1060000,3:54:07
1080000,3:53:56
1100000,3:53:45
1120000,3:53:34
1140000,3:53:22
1160000,3:53:11
1180000,3:53:00
1200000,3:52:49
1220000,3:52:37
1240000,3:52:26
1260000,3:52:15
1280000,3:52:03
1300000,3:51:52
1320000,3:51:41
1340000,3:51:29
1360000,3:51:18
1380000,3:51:06
1400000,3:50:55
1420000,3:50:44
1440000,3:50:32
1460000,3:50:21
1480000,3:50:09
1500000,3:49:58
1520000,3:49:46
1540000,3:49:35
1560000,3:49:23
1580000,3:49:12
1600000,3:49:00
1620000,3:48:49
1640000,3:48:37
1660000,3:48:25
1680000,3:48:14
1700000,3:48:02
1720000,3:47:51
1740000,3:47:39
1760000,3:47:28
1780000,3:47:16
1800000,3:47:05
1820000,3:46:53
1840000,3:46:42
1860000,3:46:30
1880000,3:46:18
1900000,3:46:07
1920000,3:45:55
1940000,3:45:44
1960000,3:45:32
1980000,3:45:21
2000000,3:45:09
2020000,3:44:57
2040000,3:44:46
2060000,3:44:34
2080000,3:44:22
2100000,3:44:11
2120000,3:43:59
2140000,3:43:47
2160000,3:43:36
2180000,3:43:24
2200000,3:43:13
2220000,3:43:01
2240000,3:42:49
2260000,3:42:38
2280000,3:42:26
2300000,3:42:15
2320000,3:42:03
2340000,3:41:51
2360000,3:41:40
2380000,3:41:28
2400000,3:41:17
2420000,3:41:05
2440000,3:40:53
2460000,3:40:41
2480000,3:40:30
2500000,3:40:18
2520000,3:40:06
2540000,3:39:54
2560000,3:39:43
2580000,3:39:31
2600000,3:39:19
2620000,3:39:07
2640000,3:38:56
2660000,3:38:44
2680000,3:38:32
2700000,3:38:21
2720000,3:38:09
2740000,3:37:57
2760000,3:37:46
2780000,3:37:34
2800000,3:37:22
2820000,3:37:10
2840000,3:36:59
2860000,3:36:47
2880000,3:36:35
2900000,3:36:24
2920000,3:36:12
2940000,3:36:00
2960000,3:35:48
2980000,3:35:37
3000000,3:35:25
3020000,3:35:13
3040000,3:35:02
3060000,3:34:50
3080000,3:34:38
3100000,3:34:27
3120000,3:34:15
3140000,3:34:03
3160000,3:33:52
3180000,3:33:40
3200000,3:33:28
3220000,3:33:16
3240000,3:33:04
3260000,3:32:53
3280000,3:32:41
3300000,3:32:29
3320000,3:32:17
3340000,3:32:05
3360000,3:31:54
3380000,3:31:42
3400000,3:31:30
3420000,3:31:18
3440000,3:31:06
3460000,3:30:55
3480000,3:30:43
3500000,3:30:31
3520000,3:30:19
3540000,3:30:07
3560000,3:29:55
3580000,3:29:43
3600000,3:29:32
3620000,3:29:20
3640000,3:29:08
3660000,3:28:56
3680000,3:28:44
3700000,3:28:33
3720000,3:28:21
3740000,3:28:09
3760000,3:27:57
3780000,3:27:45
3800000,3:27:33
3820000,3:27:21
3840000,3:27:09
3860000,3:26:58
3880000,3:26:46
3900000,3:26:34
3920000,3:26:22
3940000,3:26:10
3960000,3:25:58
3980000,3:25:47
4000000,3:25:35
4020000,3:25:23
4040000,3:25:11
4060000,3:24:59
4080000,3:24:48
4100000,3:24:36
4120000,3:24:24
4140000,3:24:12
4160000,3:24:00
4180000,3:23:49
4200000,3:23:37
4220000,3:23:25
4240000,3:23:13
4260000,3:23:02
4280000,3:22:50
4300000,3:22:38
4320000,3:22:26
4340000,3:22:14
4360000,3:22:03
4380000,3:21:51
4400000,3:21:39
4420000,3:21:27
4440000,3:21:16
4460000,3:21:04
4480000,3:20:52
4500000,3:20:40
4520000,3:20:29
4540000,3:20:17
4560000,3:20:05
4580000,3:19:53
4600000,3:19:41
4620000,3:19:30
4640000,3:19:18
4660000,3:19:06
4680000,3:18:54
4700000,3:18:43
4720000,3:18:31
4740000,3:18:19
4760000,3:18:07
4780000,3:17:56
4800000,3:17:44
4820000,3:17:32
4840000,3:17:20
4860000,3:17:08
4880000,3:16:57
4900000,3:16:45
4920000,3:16:33
4940000,3:16:21
4960000,3:16:10
4980000,3:15:58
5000000,3:15:46
5020000,3:15:34
5040000,3:15:23
5060000,3:15:11
5080000,3:14:59
5100000,3:14:47
5120000,3:14:35
5140000,3:14:24
5160000,3:14:12
5180000,3:14:00
5200000,3:13:48
5220000,3:13:36
5240000,3:13:25
5260000,3:13:13
5280000,3:13:01
5300000,3:12:50
5320000,3:12:38
5340000,3:12:26
5360000,3:12:14
5380000,3:12:02
5400000,3:11:51
5420000,3:11:39
5440000,3:11:27
5460000,3:11:15
5480000,3:11:04
5500000,3:10:52
5520000,3:10:40
5540000,3:10:28
5560000,3:10:17
5580000,3:10:05
5600000,3:09:53
5620000,3:09:41
5640000,3:09:29
5660000,3:09:17
5680000,3:09:06
5700000,3:08:54
5720000,3:08:42
5740000,3:08:30
5760000,3:08:18
5780000,3:08:07
5800000,3:07:55
5820000,3:07:43
5840000,3:07:31
5860000,3:07:19
5880000,3:07:08
5900000,3:06:56
5920000,3:06:44
5940000,3:06:32
5960000,3:06:20
5980000,3:06:09
6000000,3:05:57
6020000,3:05:45
6040000,3:05:33
6060000,3:05:21
6080000,3:05:10
6100000,3:04:58
6120000,3:04:46
6140000,3:04:34
6160000,3:04:23
6180000,3:04:11
6200000,3:03:59
6220000,3:03:47
6240000,3:03:35
6260000,3:03:24
6280000,3:03:12
6300000,3:03:00
6320000,3:02:48
6340000,3:02:36
6360000,3:02:25
6380000,3:02:13
6400000,3:02:01
6420000,3:01:49
6440000,3:01:37
6460000,3:01:26
6480000,3:01:14
6500000,3:01:02
6520000,3:00:50
6540000,3:00:38
6560000,3:00:27
6580000,3:00:15
6600000,3:00:03
6620000,2:59:51
6640000,2:59:40
6660000,2:59:28
6680000,2:59:16
6700000,2:59:04
6720000,2:58:52
6740000,2:58:41
6760000,2:58:29
6780000,2:58:17
6800000,2:58:05
6820000,2:57:53
6840000,2:57:42
6860000,2:57:30
6880000,2:57:18
6900000,2:57:06
6920000,2:56:55
6940000,2:56:43
