#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
1000,371922.30010813044,251.51754799531255,1693.948548347844,0.16911892592084796
2000,371888.67510813044,250.17327717813905,1677.4954204951146,0.1707776698294726
3000,371819.67510813044,248.73329732132612,1664.5854422154407,0.1721021653778762
4000,372377.42510813044,249.47896428361508,1651.6237481686703,0.17345279721208673
5000,371689.55010813044,252.1956384856318,1638.6149182986012,0.17482982478837816
6000,371740.05010813044,249.12043615503376,1637.9128315565952,0.17490476510249395
7000,372137.17510813044,250.458094928922,1634.8537364880444,0.17523204227258526
8000,372245.36260813044,249.2126678820401,1627.9546693628042,0.17597465362711684
9000,372014.92510813044,251.2894549689217,1612.80383797514,0.17762777612275427
10000,371615.55010813044,248.33194838545234,1603.2026856457921,0.17869154139195406
11000,372132.30010813044,251.34345278742433,1593.6076025155312,0.1797674399956152
12000,372224.61260813044,250.28323568552685,1593.9815647561802,0.1797252649566167
13000,372131.05010813044,248.70506657753182,1587.0092099839583,0.18051486863435579
14000,371566.73760813044,249.70985671660685,1577.3607696428332,0.18161904655878772
15000,371623.61260813044,253.74455651428357,1566.970226992832,0.18282335817672013
16000,371891.36260813044,251.84534633368622,1562.7457810229166,0.18331756997241638
17000,372402.73760813044,251.74490493221936,1557.3243187863566,0.1839557474354627
18000,372162.98760813044,249.16160004542746,1552.2880741755878,0.18455257360262486
19000,372194.98760813044,246.78624838939882,1542.0730023556457,0.185775095358097
20000,371527.80010813044,250.33291254368058,1536.9524711429967,0.18639402612672804
21000,372469.80010813044,250.7405185294906,1523.0349081790182,0.18809730330100494
22000,371766.61260813044,246.6153742197782,1521.5170866045082,0.18828494374722204
23000,371738.86260813044,249.77090959539416,1519.2799979725628,0.18856218698598345
24000,371568.30010813044,249.81462522429933,1506.8117709879211,0.1901224589411994
25000,371190.17510813044,248.05413086527804,1511.7924468486929,0.1894960909871771
26000,371867.67510813044,249.72870503654886,1509.745423922324,0.18975302360413462
27000,371869.92510813044,250.41195857023595,1499.1609714323358,0.19109272754616738
28000,371812.30010813044,249.7572745740423,1476.5576382222362,0.1940179994644064
29000,371749.05010813044,250.17984310839213,1451.5332148613952,0.19736286853699206
30000,371887.55010813044,248.44184090645828,1446.4529954420727,0.1980560446585489
31000,371832.80010813044,248.3509244298067,1452.3056075521527,0.19725790327603585
32000,371329.92510813044,249.504521143221,1463.4187700886398,0.19575993209682208
33000,372090.67510813044,250.17220315795768,1454.2023772203306,0.1970006125346622
34000,372207.23760813044,251.6526739907247,1456.822354396954,0.19664632286642372
35000,371818.17510813044,251.13809913885578,1459.229034292284,0.1963219976641345
36000,371887.67510813044,248.90374701176324,1452.886288845192,0.1971790643639916
37000,372013.55010813044,249.12528406962394,1439.9377274807268,0.1989521863302949
38000,371017.80010813044,249.9422084662246,1422.3722032993594,0.20140913777508154
39000,371543.67510813044,250.55684229147207,1424.5169975752642,0.20110589031187107
40000,371621.11260813044,250.02530646193628,1428.8072700051853,0.20050203066276906
41000,371084.05010813044,250.3193884538002,1437.302407027969,0.19931696883061878
42000,371370.73760813044,250.7109452591467,1420.9429486200918,0.20161172504495883
43000,371630.30010813044,249.79154965035028,1421.956438982351,0.20146802757670323
44000,371337.11260813044,248.6137969537945,1414.9944135763958,0.20245928627922458
45000,372200.98760813044,251.57082175675177,1409.8600550972112,0.20319659247457297
46000,371589.42510813044,249.47933903868676,1403.4776788055615,0.20412063788971446
47000,372252.80010813044,251.3416721119488,1391.7494742187762,0.20584075249791253
48000,371691.17510813044,252.4426371411227,1386.0269597944882,0.20669061091296836
49000,371568.30010813044,252.0619210305644,1386.612193782383,0.20660337500733633
50000,371752.92510813044,248.8572535989429,1377.854471092965,0.20791655800523076
51000,371652.42510813044,251.61294604251478,1372.9449764886458,0.20866004389662163
52000,372456.42510813044,250.02041217386144,1371.6443181817567,0.20885790526331308
53000,371735.55010813044,252.53996058082024,1372.3717019561414,0.2087472064991051
54000,371377.98760813044,250.82876921558594,1375.7432920151084,0.20823562122708927
55000,371141.05010813044,252.23784451270097,1372.3160753502332,0.20875566803271164
56000,372320.05010813044,247.88808047356488,1362.9204105123035,0.21019478236009648
57000,371974.42510813044,252.11962537924964,1358.8404515934678,0.21082589845321625
58000,372581.36260813044,249.47448191341806,1360.7891082167334,0.21052399474095393
59000,372024.17510813044,252.27377744535724,1364.9997518057944,0.20987458692411967
60000,371690.30010813044,252.39048808585025,1351.9912138478562,0.21189395029160696
61000,371416.92510813044,247.83626305917488,1353.3531027052072,0.21168071990164783
62000,372100.80010813044,247.55547554161768,1347.7221825707616,0.21256514344470662
63000,372467.80010813044,251.54449868565115,1343.2435120772477,0.2132738825730446
64000,371842.80010813044,251.60909032952884,1337.6374997627886,0.21416770919817218
65000,372024.05010813044,250.40408377090185,1329.376114322107,0.21549865081474853
66000,371833.61260813044,249.87568684000155,1301.4302220280224,0.220126099895964
67000,371963.80010813044,248.80907803041728,1303.305674626643,0.21980933915893086
68000,371720.55010813044,249.71854917615698,1294.1494806560272,0.22136450490753654
69000,371762.73760813044,247.9200832719124,1290.8996480721516,0.22192178880023597
70000,371834.98760813044,253.21506200988014,1284.1142334677857,0.22309445031858519
71000,372092.92510813044,248.22648171859237,1282.754646192719,0.22333090736568406
72000,371746.05010813044,252.29641225963846,1284.9192562640703,0.2229546780197769
73000,371579.17510813044,251.21438571986198,1276.031466871413,0.2245075975784191
74000,372081.86260813044,248.71268008102817,1273.383332723377,0.22497448466604056
75000,372487.73760813044,249.6946547774998,1273.2923562970507,0.22499055903774967
76000,372263.42510813044,250.02321861519266,1273.70228585993,0.22491814786086617
77000,372000.73760813044,248.91099847372624,1273.63942753435,0.22492924831666353
78000,371513.23760813044,248.79220842754833,1272.6371830230783,0.22510638765186222
79000,371514.80010813044,252.1390672292319,1273.5093338908782,0.2249522256633214
80000,372017.42510813044,251.50469843538013,1278.2152435145847,0.2241240358502251
81000,371467.17510813044,249.13698363023684,1272.5275996505652,0.22512577262798367
82000,372155.80010813044,246.2937145896115,1271.251230271546,0.2253518047731396
83000,372164.80010813044,251.04377254782972,1278.382444611124,0.22409472241220588
84000,372197.05010813044,249.57373199167233,1274.1228562342062,0.22484390548371666
85000,371737.73760813044,251.37489862843822,1270.2922540503787,0.22552192863360204
86000,371185.17510813044,249.8979927743599,1266.835136625342,0.22613736450735272
87000,371425.42510813044,249.06727220123625,1277.9619645723078,0.22416845493335325
88000,371782.11260813044,251.61769773591874,1280.6238899963694,0.22370249477586987
89000,372234.92510813044,251.53859833094805,1266.8387326147713,0.22613672260436116
90000,371805.36260813044,245.85528697082262,1269.240006964798,0.2257088946848115
91000,372104.55010813044,249.16379644956808,1264.3962547433127,0.2265735587139378
92000,371845.80010813044,249.4751228865992,1253.6150297680515,0.22852211584825394
93000,371778.42510813044,250.98791548594195,1249.3415992960176,0.22930378626885775
94000,372221.05010813044,248.6433014410689,1246.7366410567977,0.22978289851089398
95000,372430.30010813044,251.10466111895934,1244.356273346375,0.23022245734443583
96000,372016.73760813044,249.97973231580795,1232.8200084378734,0.23237679231436953
97000,371867.92510813044,247.44889654370806,1233.031142864666,0.23233700196428053
98000,372663.92510813044,249.1863090825688,1220.4374289032528,0.23473449132022395
99000,372467.30010813044,249.60863375541516,1215.4640309167362,0.2356949706242618
100000,372036.17510813044,250.0467347561267,1215.5518810980207,0.23567793651307403
101000,372070.80010813044,250.14454105180644,1212.3419017747779,0.23630195297414328
102000,371713.36260813044,248.265225140994,1193.6372786166223,0.24000486931321746
103000,371841.05010813044,248.20660895834953,1203.9254293472843,0.23795390651153803
104000,371882.80010813044,252.5605977073075,1203.6940878711155,0.23799963956659514
105000,372177.17510813044,252.1429453576635,1206.6045581488681,0.23742555680485167
106000,371948.23760813044,250.55594871548394,1200.1467080771718,0.2387031161554841
107000,371511.67510813044,249.7908522014093,1200.1796278688855,0.23869656875484274
108000,371724.73760813044,247.4695282434627,1199.4300456538688,0.2388457418586619
109000,372593.42510813044,249.64976663344882,1199.0131433834842,0.23892878959888228
110000,371514.61260813044,250.39537339343593,1195.3221509114267,0.23966656925359284
111000,371422.92510813044,248.51864111280932,1185.436355615569,0.2416652380405571
112000,371260.48760813044,249.49809513074123,1175.899414279348,0.24362522472837184
113000,371608.48760813044,249.50382920887833,1178.4904299752238,0.24308959307186723
114000,371590.30010813044,248.6644056138351,1180.939894203042,0.24258538513943365
115000,371903.80010813044,250.09402868869313,1183.1970627217997,0.2421226083867701
116000,372103.61260813044,248.98797875768096,1188.0993516940653,0.24112357157108785
117000,371844.42510813044,248.9933979555482,1179.5701612442354,0.2428670785971588
118000,371385.80010813044,251.255831557458,1175.0278529400396,0.24380593051047078
119000,371730.67510813044,249.24952997951556,1171.1145474288098,0.24462061349227804
120000,372219.55010813044,250.26885322203972,1159.9786450794297,0.2469689940215669
121000,372030.36260813044,248.72252177621704,1154.7485731965455,0.24808756270531154
122000,371691.42510813044,249.32647525681978,1155.269390633779,0.24797572010854124
123000,371128.17510813044,250.00421338823148,1165.590642829343,0.2457799063712208
124000,371338.23760813044,252.14638585564657,1156.60103441286,0.24769021515461104
125000,371341.98760813044,249.57947622595086,1163.5511407399727,0.24621071565412916
126000,371917.73760813044,250.0040168641488,1152.0498487663056,0.24866871808415944
127000,371842.11260813044,247.21848920801907,1146.474923652861,0.24987791110947088
128000,372101.42510813044,249.8220253908291,1137.267035329179,0.25190104888501097
129000,371998.61260813044,247.68173899692889,1131.6701525541212,0.25314687182939233
130000,371472.67510813044,249.55256813982166,1134.3138874384842,0.2525568647569813
131000,371128.92510813044,251.6685038006593,1130.1535229670558,0.25348658676890035
132000,371947.67510813044,250.8002464784208,1129.087400917992,0.25372593727363235
133000,371529.23760813044,247.1592234223473,1132.7532694452505,0.25290481765907047
134000,372069.23760813044,251.2485541900419,1124.0932607050331,0.25485319508284127
135000,372063.80010813044,248.69312422951467,1116.3857319459423,0.2566127019219544
