#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
1000,424589.17510813044,502.85918048403676,249.78564369298422,1.1468984158828714
2000,426585.30010813044,498.1977175533785,248.81673272053345,1.1513645241195851
3000,425437.98760813044,498.09215136847956,248.90599399978962,1.1509516281958607
4000,424170.30010813044,499.4555452474774,248.31345243542302,1.1536981031515776
5000,424853.80010813044,502.57111174478666,247.8962136240378,1.1556399142757536
6000,424979.05010813044,503.30289843786267,248.69375914196357,1.1519338484816353
7000,425921.36260813044,500.6264782955033,247.72701030859966,1.1564292432419594
8000,425225.92510813044,496.0164426364718,249.35609460748196,1.1488741011633214
9000,423808.67510813044,494.390408387466,250.374021742476,1.1442032087355563
10000,426566.17510813044,497.915225602227,251.40582113085907,1.1395072626924263
11000,426433.67510813044,498.00078571501405,250.23475377542817,1.1448400141847035
12000,426673.05010813044,503.23697096546016,250.71969261993243,1.1426256791724851
13000,426217.92510813044,503.22689379754627,249.30897607531136,1.1490912343855095
14000,424895.86260813044,496.4975017239004,249.52191241150712,1.148110626009115
15000,425621.73760813044,500.06359593033,249.5848731595936,1.1478210014698371
16000,424838.30010813044,500.37858813310476,249.52465563421586,1.1480980039171882
17000,425093.92510813044,498.5803263755667,248.64140368634997,1.1521764067224587
18000,426148.67510813044,497.60045208906485,248.7776157024995,1.151545561094019
19000,425739.17510813044,498.2158535906645,249.25948939574266,1.1493193689686667
20000,425292.30010813044,503.40908839804365,249.11904098261206,1.1499673326125341
21000,426140.67510813044,502.3740989432878,249.57256628477975,1.147877602600258
22000,425429.05010813044,501.93145480775104,248.98116525870373,1.1506041381246708
23000,424296.55010813044,504.14887880590965,247.861111013868,1.155803578423153
24000,426804.30010813044,501.0840938924973,249.67259769298676,1.1474177050620487
25000,425027.05010813044,500.9685204050619,249.67515878331437,1.147405935207168
26000,426666.23760813044,502.63337290982133,250.45162092944489,1.143848692208989
