#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
2000,392731.36260813044,419.7527167607173,237.2838323257415,1.207325236843322
4000,397774.17510813044,445.0325930441242,239.36380790953905,1.196834064279399
6000,399117.42510813044,450.64761116357874,239.59019392102417,1.1957031895729366
8000,400585.67510813044,445.89169667496816,240.4303765866048,1.1915248111695038
10000,398653.42510813044,448.2824199036042,240.35649404940014,1.1918910707812513
12000,400030.80010813044,445.49985081849326,240.02843939850777,1.1935200669539827
14000,400339.36260813044,450.01228372933826,241.6000877942679,1.1857560221820576
16000,400210.67510813044,448.8529340416652,240.7842987285327,1.189773421998548
18000,399731.11260813044,446.1422829232534,240.6502863876752,1.1904359781241418
20000,400061.86260813044,448.36263694393045,239.87791314997907,1.1942690150161996
22000,400296.86260813044,449.8184688719596,238.95465958278558,1.198883334444946
24000,399957.48760813044,450.2559211628834,239.83568632594515,1.1944792847567824
26000,399853.17510813044,451.1091393668234,240.16426429736788,1.1928450716841588
28000,400383.92510813044,450.1311056731324,240.91538755241055,1.18912603288756
30000,399043.05010813044,448.7682895588842,240.430803634503,1.1915226948093762
32000,400390.48760813044,449.07108812991385,240.63477085291498,1.1905127344911997
34000,400549.05010813044,450.7202803970824,240.25573649449674,1.192390921614182
36000,399597.55010813044,447.6399361563246,240.7385991779671,1.1899992773904373
38000,399703.55010813044,450.9132204919335,241.05894426433005,1.1884178781917853
40000,400010.80010813044,452.8375863308499,240.81225297212777,1.1896353093583025
42000,400980.67510813044,450.44562295223614,241.49685600919096,1.1862628930078662
44000,400904.92510813044,454.58465027304067,241.6704586931142,1.185410747391152
46000,401387.42510813044,452.6920144408135,241.45852581860677,1.1864512056077954
48000,401506.30010813044,448.34311609654935,243.49493538310648,1.1765286149012966
50000,400582.80010813044,449.92580784151073,241.4122045670389,1.1866788573326388
52000,400773.17510813044,447.7273349729841,241.0870335087506,1.1882794146677689
54000,399420.36260813044,454.32277866260426,241.0987166259415,1.1882218332428185
56000,400529.05010813044,447.63415617193766,241.94666637731927,1.1840574757702975
58000,401073.98760813044,448.4962687414843,241.5986626413188,1.1857630167724804
60000,400705.67510813044,449.9843281608441,241.1057057568169,1.1881873892719657
62000,399593.23760813044,449.7877418648167,241.4900460511831,1.1862963453203725
64000,400746.55010813044,449.4617520641073,241.55476952344915,1.1859784827554682
66000,400293.86260813044,452.9780189376956,241.7296534427191,1.1851204640462194
68000,400780.98760813044,449.1225895850705,239.96509470353968,1.1938351259615143
70000,400631.67510813044,448.69943969507017,241.23663886614764,1.1875424910920036
72000,400582.67510813044,451.50535752588263,239.76663987269856,1.194823263210719
74000,400917.30010813044,447.8339966168505,240.70104354831142,1.190184948260382
76000,399343.05010813044,448.5362715033765,240.5634225522274,1.1908658266597916
78000,398537.86260813044,450.2815235377698,238.69773509512447,1.2001737634737135
80000,399573.67510813044,453.41894571801834,240.44581266349752,1.1914483179737978
82000,400004.80010813044,447.68179997731727,239.237809655512,1.1974643952570836
84000,400927.98760813044,455.01262847441603,240.21624004884143,1.1925869749835372
86000,399982.98760813044,454.66286565928004,238.90887652673774,1.199113081215739
88000,399380.42510813044,448.40175121055995,240.96192481212492,1.1888963755793824
