Warning: 'advanced_options.json' have been modified after configuration by elwood. This is possible but not recommended.
#"Step","Time Remaining"
20000,--
40000,10:10
60000,9:57
80000,9:45
100000,9:32
120000,9:19
140000,9:06
160000,8:53
180000,8:40
200000,8:27
220000,8:14
240000,8:01
260000,7:49
280000,7:36
300000,7:23
320000,7:11
340000,6:58
360000,6:45
380000,6:32
400000,6:20
420000,6:07
440000,5:54
460000,5:42
480000,5:29
500000,5:16
#"Step","Time Remaining"
20000,--
40000,4:19
60000,4:07
80000,3:56
100000,3:45
120000,3:34
140000,3:22
160000,3:11
180000,3:00
200000,2:49
220000,2:37
240000,2:26
260000,2:15
280000,2:03
300000,1:52
320000,1:41
340000,1:30
360000,1:18
380000,1:07
400000,0:56
420000,0:45
440000,0:33
460000,0:22
480000,0:11
500000,0:00
