#"Step","Potential Energy (kJ/mole)","Temperature (K)"
1002000,237.6514892578125,417.09132213634416
1004000,241.3887939453125,376.24326253836824
1006000,242.35565185546875,394.2312698225952
1008000,163.9088134765625,369.71207127748806
1010000,200.88360595703125,429.88470435357766
1012000,184.31707763671875,492.6176058176178
1014000,227.817138671875,394.4453788152088
1016000,146.49560546875,458.3057956541368
1018000,217.18023681640625,376.2767160936066
1020000,201.4161376953125,503.71927169498366
1022000,276.215576171875,445.93773983882573
1024000,226.92108154296875,481.72757831475957
1026000,151.07916259765625,471.4797503616821
1028000,130.0419921875,371.278234936224
1030000,263.94036865234375,475.47375907638485
1032000,236.9150390625,422.52088145154323
1034000,169.88446044921875,364.289804049142
1036000,188.411376953125,398.68633477287136
1038000,206.2918701171875,501.1427919542856
1040000,185.54693603515625,450.24682391168955
1042000,156.87152099609375,399.63280305741915
1044000,135.07275390625,429.0410272471757
1046000,213.27392578125,434.56453004002236
1048000,226.04962158203125,356.5541297063193
1050000,177.39569091796875,384.38009302168615
1052000,132.47882080078125,370.84834243623203
1054000,119.01837158203125,386.7159902507039
1056000,125.49517822265625,392.5265761980745
1058000,181.78802490234375,466.0099008448947
1060000,133.3670654296875,464.61902686398054
1062000,183.85955810546875,437.21781717358635
1064000,208.46478271484375,453.78671895885617
1066000,219.70111083984375,473.094179498492
1068000,215.4112548828125,368.4070226355977
1070000,227.15802001953125,374.7050287588927
1072000,185.15667724609375,399.4213035887382
1074000,242.7296142578125,342.66007633466774
1076000,198.673583984375,419.212484636705
1078000,173.09039306640625,390.44286463101946
1080000,203.27691650390625,442.24664644155496
1082000,200.527099609375,340.94912768097214
1084000,188.615966796875,459.68511546217275
1086000,223.73236083984375,484.68273870077496
1088000,248.56201171875,493.8218652476328
1090000,280.0050048828125,419.28765498294047
1092000,139.613037109375,454.81453185090237
1094000,235.12139892578125,413.94987377146333
1096000,218.55181884765625,496.06076580111545
1098000,248.85443115234375,383.4627081494287
1100000,284.337158203125,446.2619872800271
1102000,197.96978759765625,382.7709395829926
1104000,241.4281005859375,410.92903779485624
1106000,175.017333984375,421.25519889615015
1108000,237.04248046875,460.6935885942854
1110000,138.07763671875,465.3887180410847
1112000,209.76214599609375,378.71473946414045
1114000,143.6953125,474.2158763616199
1116000,230.8009033203125,420.8392369322423
1118000,186.9107666015625,500.2558463129183
1120000,213.9644775390625,451.5479313278333
1122000,229.18743896484375,399.02332744237094
1124000,180.92156982421875,396.4013208312746
1126000,185.240478515625,401.81412691293536
1128000,167.03167724609375,485.2884286761187
1130000,264.54254150390625,472.9033790588502
1132000,232.35748291015625,469.90330992251455
1134000,207.57000732421875,527.966722789571
1136000,143.5821533203125,434.5939358125066
1138000,217.0677490234375,340.3195734094612
1140000,158.8970947265625,421.8964605454437
1142000,207.17620849609375,385.3874093181545
1144000,166.98345947265625,390.92131159047136
1146000,245.7100830078125,392.3418522740356
1148000,205.37933349609375,397.16461771983813
1150000,218.1947021484375,460.90504353105274
1152000,183.890869140625,413.8468357513313
1154000,156.65777587890625,426.78683939390464
1156000,161.66717529296875,389.6966559909595
1158000,177.1812744140625,394.6948007052192
1160000,179.5623779296875,415.86460853375394
1162000,185.0897216796875,455.6853528825932
