Warning: 'advanced_options.json' have been modified after configuration by elwood. This is possible but not recommended.
#"Step","Time Remaining"
20000,--
40000,7:04:22
60000,7:04:21
80000,7:04:27
100000,7:06:49
120000,7:05:48
140000,7:05:08
160000,7:04:38
180000,7:04:08
200000,7:03:48
220000,7:03:35
240000,7:03:14
260000,7:02:54
280000,7:02:37
300000,7:02:19
320000,7:02:05
340000,7:01:52
360000,7:01:39
380000,7:01:26
400000,7:01:15
420000,7:01:02
440000,7:00:49
460000,7:00:37
480000,7:00:25
500000,7:00:12
520000,6:59:59
540000,6:59:49
560000,6:59:36
580000,6:59:24
600000,6:59:12
620000,6:59:01
640000,6:58:50
660000,6:58:38
680000,6:58:25
700000,6:58:13
720000,6:58:00
740000,6:57:47
760000,6:57:35
780000,6:57:20
800000,6:57:08
820000,6:56:55
840000,6:56:41
860000,6:56:28
880000,6:56:16
900000,6:56:05
920000,6:55:54
940000,6:55:44
960000,6:55:33
980000,6:55:22
1000000,6:55:12
1020000,6:55:00
1040000,6:54:49
1060000,6:54:37
1080000,6:54:25
1100000,6:54:12
1120000,6:53:59
1140000,6:53:48
1160000,6:53:37
1180000,6:53:25
1200000,6:53:13
1220000,6:53:01
1240000,6:52:49
1260000,6:52:36
1280000,6:52:24
1300000,6:52:12
1320000,6:52:00
1340000,6:51:48
1360000,6:51:36
1380000,6:51:24
1400000,6:51:13
1420000,6:51:00
1440000,6:50:47
1460000,6:50:34
1480000,6:50:22
1500000,6:50:09
1520000,6:49:58
1540000,6:49:46
1560000,6:49:34
1580000,6:49:22
1600000,6:49:10
1620000,6:48:58
1640000,6:48:47
1660000,6:48:35
1680000,6:48:23
1700000,6:48:12
1720000,6:48:01
1740000,6:47:50
1760000,6:47:38
1780000,6:47:26
1800000,6:47:14
1820000,6:47:02
1840000,6:46:50
1860000,6:46:37
1880000,6:46:25
1900000,6:46:12
1920000,6:45:59
1940000,6:45:47
1960000,6:45:35
1980000,6:45:23
2000000,6:45:11
2020000,6:44:58
2040000,6:44:46
2060000,6:44:34
2080000,6:44:23
2100000,6:44:11
2120000,6:43:59
2140000,6:43:47
2160000,6:43:35
2180000,6:43:23
2200000,6:43:11
2220000,6:42:59
2240000,6:42:47
2260000,6:42:35
2280000,6:42:23
2300000,6:42:11
2320000,6:41:59
2340000,6:41:47
2360000,6:41:34
2380000,6:41:22
2400000,6:41:10
2420000,6:40:58
2440000,6:40:45
2460000,6:40:33
2480000,6:40:21
2500000,6:40:09
2520000,6:39:57
2540000,6:39:44
2560000,6:39:32
2580000,6:39:20
2600000,6:39:08
2620000,6:38:56
2640000,6:38:43
2660000,6:38:30
2680000,6:38:18
2700000,6:38:06
2720000,6:37:54
2740000,6:37:41
2760000,6:37:29
2780000,6:37:17
2800000,6:37:04
2820000,6:36:52
2840000,6:36:40
2860000,6:36:27
2880000,6:36:15
2900000,6:36:03
2920000,6:35:50
2940000,6:35:38
2960000,6:35:25
2980000,6:35:13
3000000,6:35:01
3020000,6:34:50
3040000,6:34:37
3060000,6:34:24
3080000,6:34:12
3100000,6:34:00
3120000,6:33:47
3140000,6:33:34
3160000,6:33:22
3180000,6:33:09
3200000,6:32:57
3220000,6:32:44
3240000,6:32:32
3260000,6:32:20
3280000,6:32:07
3300000,6:31:55
3320000,6:31:42
3340000,6:31:30
3360000,6:31:17
3380000,6:31:04
3400000,6:30:52
3420000,6:30:40
3440000,6:30:27
3460000,6:30:15
3480000,6:30:02
3500000,6:29:50
3520000,6:29:38
3540000,6:29:26
3560000,6:29:13
3580000,6:29:00
3600000,6:28:48
3620000,6:28:35
3640000,6:28:23
3660000,6:28:10
3680000,6:27:58
3700000,6:27:45
3720000,6:27:32
3740000,6:27:20
3760000,6:27:07
3780000,6:26:55
3800000,6:26:43
3820000,6:26:30
3840000,6:26:18
3860000,6:26:05
3880000,6:25:52
3900000,6:25:39
3920000,6:25:26
3940000,6:25:13
3960000,6:25:00
3980000,6:24:47
4000000,6:24:34
4020000,6:24:20
4040000,6:24:07
4060000,6:23:54
4080000,6:23:41
4100000,6:23:28
4120000,6:23:15
4140000,6:23:02
4160000,6:22:49
4180000,6:22:36
4200000,6:22:23
4220000,6:22:10
4240000,6:21:57
4260000,6:21:45
4280000,6:21:32
4300000,6:21:19
4320000,6:21:06
4340000,6:20:53
4360000,6:20:40
4380000,6:20:28
4400000,6:20:15
4420000,6:20:02
4440000,6:19:49
4460000,6:19:37
4480000,6:19:24
4500000,6:19:12
4520000,6:18:59
4540000,6:18:46
4560000,6:18:33
4580000,6:18:21
4600000,6:18:08
4620000,6:17:55
4640000,6:17:42
4660000,6:17:29
4680000,6:17:17
4700000,6:17:04
4720000,6:16:51
4740000,6:16:38
4760000,6:16:26
4780000,6:16:13
4800000,6:16:00
4820000,6:15:47
4840000,6:15:34
4860000,6:15:22
4880000,6:15:08
4900000,6:14:55
4920000,6:14:42
4940000,6:14:29
4960000,6:14:16
4980000,6:14:03
5000000,6:13:50
5020000,6:13:38
5040000,6:13:25
5060000,6:13:13
5080000,6:13:00
5100000,6:12:47
5120000,6:12:34
5140000,6:12:21
5160000,6:12:09
5180000,6:11:56
5200000,6:11:43
5220000,6:11:31
5240000,6:11:18
5260000,6:11:05
5280000,6:10:53
5300000,6:10:40
5320000,6:10:27
5340000,6:10:14
5360000,6:10:01
5380000,6:09:48
5400000,6:09:35
5420000,6:09:22
5440000,6:09:09
5460000,6:08:57
5480000,6:08:44
5500000,6:08:31
5520000,6:08:18
5540000,6:08:06
5560000,6:07:53
5580000,6:07:40
5600000,6:07:28
5620000,6:07:15
5640000,6:07:03
5660000,6:06:50
5680000,6:06:38
5700000,6:06:25
5720000,6:06:12
5740000,6:06:00
5760000,6:05:47
5780000,6:05:35
5800000,6:05:22
5820000,6:05:09
5840000,6:04:57
5860000,6:04:44
5880000,6:04:31
