Warning: 'advanced_options.json' have been modified after configuration by elwood. This is possible but not recommended.
#"Step","Time Remaining"
20000,--
40000,7:14:50
60000,7:15:27
80000,7:16:12
100000,7:19:20
120000,7:19:02
140000,7:18:46
160000,7:18:34
180000,7:18:14
200000,7:17:58
220000,7:17:40
240000,7:17:18
260000,7:17:01
280000,7:16:41
300000,7:16:26
320000,7:16:09
340000,7:15:53
360000,7:15:36
380000,7:15:22
400000,7:15:09
420000,7:14:54
440000,7:14:38
460000,7:14:23
480000,7:14:09
500000,7:13:57
520000,7:13:42
540000,7:13:27
560000,7:13:13
580000,7:12:59
600000,7:12:45
620000,7:12:30
640000,7:12:17
660000,7:12:03
680000,7:11:49
700000,7:11:35
720000,7:11:21
740000,7:11:08
760000,7:10:55
780000,7:10:42
800000,7:10:28
820000,7:10:14
840000,7:09:59
860000,7:09:45
880000,7:09:30
900000,7:09:17
920000,7:09:04
940000,7:08:50
960000,7:08:37
980000,7:08:23
1000000,7:08:09
1020000,7:07:55
1040000,7:07:42
1060000,7:07:28
1080000,7:07:15
1100000,7:07:02
1120000,7:06:49
1140000,7:06:35
1160000,7:06:21
1180000,7:06:08
1200000,7:05:55
1220000,7:05:41
1240000,7:05:28
1260000,7:05:15
1280000,7:05:01
1300000,7:04:48
1320000,7:04:35
1340000,7:04:22
1360000,7:04:08
1380000,7:03:55
1400000,7:03:41
1420000,7:03:28
1440000,7:03:15
1460000,7:03:01
1480000,7:02:47
1500000,7:02:34
1520000,7:02:20
1540000,7:02:07
1560000,7:01:53
1580000,7:01:40
1600000,7:01:26
1620000,7:01:13
1640000,7:01:00
1660000,7:00:47
1680000,7:00:34
1700000,7:00:21
1720000,7:00:07
1740000,6:59:54
1760000,6:59:40
1780000,6:59:26
1800000,6:59:13
1820000,6:59:00
1840000,6:58:47
1860000,6:58:33
1880000,6:58:20
1900000,6:58:07
1920000,6:57:53
1940000,6:57:40
1960000,6:57:27
1980000,6:57:14
2000000,6:57:00
2020000,6:56:47
2040000,6:56:34
2060000,6:56:21
2080000,6:56:08
2100000,6:55:55
2120000,6:55:42
2140000,6:55:29
2160000,6:55:15
2180000,6:55:02
2200000,6:54:49
2220000,6:54:36
2240000,6:54:22
2260000,6:54:09
2280000,6:53:55
2300000,6:53:42
2320000,6:53:29
2340000,6:53:15
2360000,6:53:02
2380000,6:52:48
2400000,6:52:35
2420000,6:52:21
2440000,6:52:08
2460000,6:51:54
2480000,6:51:41
2500000,6:51:28
2520000,6:51:14
2540000,6:51:01
2560000,6:50:48
2580000,6:50:35
2600000,6:50:22
2620000,6:50:08
2640000,6:49:55
