Warning: 'advanced_options.json' have been modified after configuration by elwood. This is possible but not recommended.
#"Step","Time Remaining"
20000,--
40000,4:28:41
60000,4:28:43
80000,4:28:44
100000,4:30:05
120000,4:29:40
140000,4:29:26
160000,4:29:12
180000,4:29:02
200000,4:28:57
220000,4:28:50
240000,4:28:42
260000,4:28:29
280000,4:28:17
300000,4:28:06
320000,4:27:55
340000,4:27:43
360000,4:27:31
380000,4:27:19
400000,4:27:07
420000,4:26:54
440000,4:26:42
460000,4:26:28
480000,4:26:14
500000,4:26:00
520000,4:25:48
540000,4:25:35
560000,4:25:22
580000,4:25:09
600000,4:24:58
620000,4:24:45
640000,4:24:33
660000,4:24:21
680000,4:24:08
700000,4:23:56
720000,4:23:45
740000,4:23:33
760000,4:23:21
780000,4:23:08
800000,4:22:56
820000,4:22:43
840000,4:22:31
860000,4:22:18
880000,4:22:05
900000,4:21:52
920000,4:21:40
940000,4:21:27
960000,4:21:15
980000,4:21:03
1000000,4:20:51
1020000,4:20:39
1040000,4:20:28
1060000,4:20:16
1080000,4:20:04
1100000,4:19:51
1120000,4:19:39
1140000,4:19:27
1160000,4:19:14
1180000,4:19:01
1200000,4:18:48
1220000,4:18:35
1240000,4:18:21
1260000,4:18:08
1280000,4:17:55
1300000,4:17:42
1320000,4:17:29
1340000,4:17:16
1360000,4:17:03
1380000,4:16:50
1400000,4:16:37
1420000,4:16:24
1440000,4:16:11
1460000,4:15:58
1480000,4:15:45
1500000,4:15:32
1520000,4:15:18
1540000,4:15:05
1560000,4:14:53
1580000,4:14:39
1600000,4:14:26
1620000,4:14:13
1640000,4:14:00
1660000,4:13:47
1680000,4:13:35
1700000,4:13:22
1720000,4:13:10
1740000,4:12:57
1760000,4:12:44
1780000,4:12:31
1800000,4:12:17
1820000,4:12:04
1840000,4:11:51
1860000,4:11:38
1880000,4:11:25
1900000,4:11:11
1920000,4:10:58
1940000,4:10:45
1960000,4:10:32
1980000,4:10:19
2000000,4:10:06
2020000,4:09:54
2040000,4:09:41
2060000,4:09:28
2080000,4:09:15
2100000,4:09:02
2120000,4:08:49
2140000,4:08:36
2160000,4:08:23
2180000,4:08:10
2200000,4:07:57
2220000,4:07:43
2240000,4:07:30
2260000,4:07:17
2280000,4:07:04
2300000,4:06:51
2320000,4:06:38
2340000,4:06:24
2360000,4:06:11
2380000,4:05:58
2400000,4:05:45
2420000,4:05:32
2440000,4:05:19
2460000,4:05:06
2480000,4:04:53
2500000,4:04:40
2520000,4:04:27
2540000,4:04:14
2560000,4:04:01
2580000,4:03:48
2600000,4:03:35
2620000,4:03:22
2640000,4:03:08
2660000,4:02:55
2680000,4:02:42
2700000,4:02:29
2720000,4:02:15
2740000,4:02:02
2760000,4:01:49
2780000,4:01:36
2800000,4:01:23
2820000,4:01:09
2840000,4:00:56
2860000,4:00:43
2880000,4:00:30
2900000,4:00:16
2920000,4:00:03
2940000,3:59:50
2960000,3:59:37
2980000,3:59:23
3000000,3:59:10
3020000,3:58:57
3040000,3:58:44
3060000,3:58:31
3080000,3:58:18
3100000,3:58:05
3120000,3:57:52
3140000,3:57:39
3160000,3:57:26
3180000,3:57:13
3200000,3:57:00
3220000,3:56:46
3240000,3:56:33
3260000,3:56:20
3280000,3:56:07
3300000,3:55:54
3320000,3:55:41
3340000,3:55:28
3360000,3:55:14
3380000,3:55:01
3400000,3:54:48
3420000,3:54:34
3440000,3:54:21
3460000,3:54:08
3480000,3:53:55
3500000,3:53:42
3520000,3:53:28
3540000,3:53:15
3560000,3:53:02
3580000,3:52:49
3600000,3:52:36
3620000,3:52:23
3640000,3:52:10
3660000,3:51:57
3680000,3:51:44
3700000,3:51:31
3720000,3:51:18
3740000,3:51:05
3760000,3:50:52
3780000,3:50:39
3800000,3:50:26
3820000,3:50:13
3840000,3:50:00
3860000,3:49:47
3880000,3:49:34
3900000,3:49:21
3920000,3:49:08
3940000,3:48:55
3960000,3:48:42
3980000,3:48:29
4000000,3:48:16
4020000,3:48:03
4040000,3:47:50
4060000,3:47:37
4080000,3:47:24
4100000,3:47:11
4120000,3:46:58
4140000,3:46:45
4160000,3:46:32
4180000,3:46:19
4200000,3:46:06
4220000,3:45:53
4240000,3:45:40
4260000,3:45:27
4280000,3:45:14
4300000,3:45:01
4320000,3:44:48
4340000,3:44:35
4360000,3:44:21
4380000,3:44:08
4400000,3:43:55
4420000,3:43:42
4440000,3:43:29
4460000,3:43:16
4480000,3:43:02
4500000,3:42:49
4520000,3:42:36
4540000,3:42:23
4560000,3:42:10
4580000,3:41:57
4600000,3:41:44
4620000,3:41:30
4640000,3:41:17
4660000,3:41:04
4680000,3:40:51
4700000,3:40:38
4720000,3:40:24
4740000,3:40:11
4760000,3:39:58
4780000,3:39:45
4800000,3:39:32
4820000,3:39:19
4840000,3:39:06
4860000,3:38:52
4880000,3:38:39
4900000,3:38:26
4920000,3:38:13
4940000,3:37:59
4960000,3:37:46
4980000,3:37:33
5000000,3:37:20
5020000,3:37:07
5040000,3:36:54
5060000,3:36:41
5080000,3:36:28
5100000,3:36:15
5120000,3:36:02
5140000,3:35:49
5160000,3:35:36
5180000,3:35:22
5200000,3:35:09
5220000,3:34:56
5240000,3:34:43
5260000,3:34:30
5280000,3:34:17
5300000,3:34:04
5320000,3:33:51
5340000,3:33:38
5360000,3:33:25
5380000,3:33:12
5400000,3:32:59
5420000,3:32:46
5440000,3:32:34
5460000,3:32:20
5480000,3:32:08
5500000,3:31:55
5520000,3:31:42
5540000,3:31:29
5560000,3:31:16
5580000,3:31:03
5600000,3:30:50
5620000,3:30:37
5640000,3:30:24
5660000,3:30:11
5680000,3:29:58
5700000,3:29:45
5720000,3:29:32
5740000,3:29:19
5760000,3:29:06
5780000,3:28:53
5800000,3:28:40
5820000,3:28:27
5840000,3:28:14
5860000,3:28:01
5880000,3:27:48
5900000,3:27:35
5920000,3:27:22
5940000,3:27:08
5960000,3:26:55
5980000,3:26:42
6000000,3:26:29
6020000,3:26:16
6040000,3:26:03
6060000,3:25:50
6080000,3:25:37
