#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
2000,400314.17510813044,96293.60439188546,449.4337605558871,241.2551317711214,1.1874514625187298
4000,400998.98760813044,95357.03474185662,445.0624835381328,241.31899036735373,1.187137235348398
6000,400110.42510813044,95486.47539726156,445.66662543202955,241.72130123766638,1.185161413557401
8000,399065.30010813044,96463.41317889467,450.22631372910087,240.56563179181202,1.1908548903182008
10000,400327.92510813044,96863.97879767991,452.09588454366286,240.89581894837872,1.1892226287379284
12000,400031.30010813044,97028.22011880483,452.86245253182784,241.09412815914342,1.1882444473001255
14000,400775.17510813044,97553.58786783088,455.31451572554346,240.36764536325563,1.1918357756878049
16000,400466.05010813044,95823.92275549844,447.2416026712743,240.44863695229554,1.191434323325375
18000,400493.30010813044,95943.57114819065,447.8000408709005,240.42442083107022,1.1915543274327194
20000,399855.73760813044,97149.91625194729,453.43044820618985,240.94893604105783,1.188960465104319
22000,399878.86260813044,96227.54612405511,449.12544500456573,240.82392531998573,1.189577649650545
24000,400555.67510813044,96987.62463074736,452.67298010554896,240.58476748345166,1.1907601718029472
26000,399119.55010813044,96041.4170228187,448.256719584577,239.46960895516852,1.1963052861350734
28000,400187.92510813044,96664.58193856943,451.1652341562462,240.55729107741587,1.1908961801934022
30000,399995.05010813044,96742.19744017394,451.52749109930943,240.9652947889173,1.188879748482946
32000,399684.05010813044,97272.54290014296,454.00278689878525,240.33300970056433,1.192007537452706
34000,399834.17510813044,96019.64352543629,448.1550955476451,238.39094805105302,1.2017182758148
36000,399109.92510813044,97301.93052009027,454.13994853719436,239.7159103043371,1.1950761161328882
38000,400132.92510813044,95357.8177191941,445.06613794956996,240.4194933402505,1.1915787488010872
40000,400260.92510813044,95799.73289442668,447.12870067432993,240.586516915468,1.190751513154927
42000,400828.61260813044,97354.31182366889,454.38442922102405,240.63589032276988,1.1905071960691613
44000,398821.42510813044,96087.73462215322,448.4728989765553,239.25805893148825,1.1973630495088168
46000,401012.55010813044,96917.28714053286,452.34469202312846,239.86600405722666,1.1943283092064167
48000,400352.23760813044,97080.68477228354,453.10732223691474,241.02253187738188,1.1885974179688337
50000,399036.05010813044,95946.70600615232,447.81467227878494,240.7612186322607,1.1898874772657444
52000,399857.11260813044,95896.95363077149,447.58246166308305,239.75954154151322,1.194858637199073
54000,400471.17510813044,96259.21675412892,449.27326219827387,239.47064972638054,1.1963000868335971
56000,401224.42510813044,96816.8703380056,451.8760139476962,240.1877612689528,1.1927283786161749
58000,399463.30010813044,96046.48133418127,448.2803563828325,238.61021358557184,1.200613983604806
60000,400147.05010813044,95567.9764146898,446.04701734884713,239.75644541226268,1.1948740671774851
62000,400652.80010813044,96237.06655650074,449.1698799780324,240.74413583556765,1.189971909668599
64000,400337.61260813044,96435.95563496486,450.09816038701825,240.04657173458915,1.1934299123359955
66000,400848.48760813044,96344.13677511737,449.6696117234614,239.78035528032302,1.1947549194630631
68000,399839.92510813044,96094.20055878139,448.5030776185603,240.0257158126535,1.1935336098960803
70000,399326.17510813044,95300.10619359696,444.796779375443,238.32808367698797,1.2020352559459122
72000,399783.73760813044,95894.4913155958,447.5709692324479,241.09190169819158,1.1882554206254197
74000,399730.05010813044,96519.48022650788,450.4879969863764,239.41078165915465,1.1965992386659605
76000,401442.30010813044,97077.11463403725,453.090659233511,237.68638380372457,1.2052804812678457
78000,401018.55010813044,97486.54192655906,455.0015903790877,238.8578660376746,1.1993691638213886
80000,400265.92510813044,96041.8801855403,448.2588813165533,237.82016771459345,1.2046024599796281
82000,398143.67510813044,97492.26665830961,455.0283095753944,237.50866363068374,1.2061823542876302
84000,400363.30010813044,95458.53659252997,445.53622588830854,238.47849993834268,1.2012770926344913
86000,399635.48760813044,96608.06756851263,450.90146309875513,237.42336748401743,1.206615684452592
88000,398751.05010813044,95863.44083624077,447.4260464850679,239.99330933977157,1.193694773616307
90000,399624.80010813044,96781.79672682472,451.7123139276497,239.8223026486447,1.1945459446341695
92000,400303.05010813044,95962.67491872003,447.88920441903065,240.2256266251442,1.1925403758392423
94000,401243.67510813044,95856.33612742578,447.3928864842502,240.1883801352522,1.1927253054475335
96000,400952.67510813044,96672.6406980101,451.20284702351506,240.09070584567087,1.1932105328804945
98000,400080.30010813044,96718.64349193824,451.4175571156523,240.07475173039686,1.193289827426258
100000,401215.36260813044,95802.54796989867,447.141839552697,242.5338876557477,1.1811906444529294
102000,398996.67510813044,96321.94861619454,449.5660523254362,240.63620759877602,1.1905056263994418
104000,400176.80010813044,96346.44167817035,449.68036946021203,241.42285711280007,1.1866264962969741
