Warning: 'advanced_options.json' have been modified after configuration by elwood. This is possible but not recommended.
#"Step","Time Remaining"
20000,--
40000,3:55:44
60000,3:55:56
80000,3:56:14
100000,3:58:14
120000,3:58:16
140000,3:58:30
160000,3:58:39
180000,3:58:44
200000,3:58:46
220000,3:58:42
240000,3:58:38
260000,3:58:31
280000,3:58:23
300000,3:58:15
320000,3:58:05
340000,3:57:56
360000,3:57:47
380000,3:57:37
400000,3:57:29
420000,3:57:18
440000,3:57:07
460000,3:56:56
480000,3:56:45
500000,3:56:34
520000,3:56:22
540000,3:56:10
560000,3:55:58
580000,3:55:46
600000,3:55:35
620000,3:55:24
640000,3:55:12
660000,3:55:00
680000,3:54:48
700000,3:54:37
720000,3:54:24
740000,3:54:12
760000,3:54:00
780000,3:53:47
800000,3:53:35
820000,3:53:23
840000,3:53:11
860000,3:52:59
880000,3:52:47
900000,3:52:35
920000,3:52:22
940000,3:52:10
960000,3:51:58
980000,3:51:45
1000000,3:51:33
1020000,3:51:20
1040000,3:51:08
1060000,3:50:55
1080000,3:50:43
1100000,3:50:31
1120000,3:50:19
1140000,3:50:07
1160000,3:49:55
1180000,3:49:43
1200000,3:49:31
1220000,3:49:19
1240000,3:49:07
1260000,3:48:55
1280000,3:48:43
1300000,3:48:31
1320000,3:48:19
1340000,3:48:07
1360000,3:47:55
1380000,3:47:43
1400000,3:47:32
1420000,3:47:20
1440000,3:47:08
1460000,3:46:56
1480000,3:46:44
1500000,3:46:32
1520000,3:46:21
1540000,3:46:09
1560000,3:45:57
1580000,3:45:45
1600000,3:45:33
1620000,3:45:21
1640000,3:45:10
1660000,3:44:58
1680000,3:44:46
1700000,3:44:35
1720000,3:44:23
1740000,3:44:12
1760000,3:44:00
1780000,3:43:48
1800000,3:43:37
1820000,3:43:25
1840000,3:43:14
1860000,3:43:02
1880000,3:42:50
1900000,3:42:39
1920000,3:42:27
1940000,3:42:15
1960000,3:42:04
1980000,3:41:52
2000000,3:41:41
2020000,3:41:29
2040000,3:41:18
2060000,3:41:06
2080000,3:40:54
2100000,3:40:43
2120000,3:40:31
2140000,3:40:20
2160000,3:40:08
2180000,3:39:56
2200000,3:39:45
2220000,3:39:33
2240000,3:39:21
2260000,3:39:10
2280000,3:38:58
2300000,3:38:47
2320000,3:38:35
2340000,3:38:23
2360000,3:38:12
2380000,3:38:00
2400000,3:37:49
2420000,3:37:37
2440000,3:37:26
2460000,3:37:14
2480000,3:37:03
2500000,3:36:51
2520000,3:36:40
2540000,3:36:28
2560000,3:36:16
2580000,3:36:05
2600000,3:35:53
2620000,3:35:41
2640000,3:35:30
2660000,3:35:18
2680000,3:35:07
2700000,3:34:55
2720000,3:34:44
2740000,3:34:32
2760000,3:34:20
2780000,3:34:09
2800000,3:33:57
2820000,3:33:46
2840000,3:33:34
2860000,3:33:22
2880000,3:33:11
2900000,3:32:59
2920000,3:32:48
2940000,3:32:36
2960000,3:32:25
2980000,3:32:13
3000000,3:32:01
3020000,3:31:50
3040000,3:31:38
3060000,3:31:27
3080000,3:31:15
3100000,3:31:04
3120000,3:30:52
3140000,3:30:41
3160000,3:30:29
3180000,3:30:18
3200000,3:30:06
3220000,3:29:55
3240000,3:29:43
3260000,3:29:32
3280000,3:29:20
3300000,3:29:08
3320000,3:28:57
3340000,3:28:45
3360000,3:28:34
3380000,3:28:22
3400000,3:28:11
3420000,3:28:00
3440000,3:27:48
3460000,3:27:36
3480000,3:27:25
3500000,3:27:13
3520000,3:27:02
3540000,3:26:50
3560000,3:26:39
3580000,3:26:27
3600000,3:26:16
3620000,3:26:04
3640000,3:25:52
3660000,3:25:40
3680000,3:25:29
3700000,3:25:17
3720000,3:25:05
3740000,3:24:54
3760000,3:24:42
3780000,3:24:30
3800000,3:24:18
3820000,3:24:07
3840000,3:23:55
3860000,3:23:44
3880000,3:23:32
3900000,3:23:20
3920000,3:23:09
3940000,3:22:57
3960000,3:22:45
3980000,3:22:34
4000000,3:22:22
4020000,3:22:10
4040000,3:21:59
4060000,3:21:47
4080000,3:21:36
4100000,3:21:24
4120000,3:21:12
4140000,3:21:01
4160000,3:20:49
4180000,3:20:37
4200000,3:20:26
4220000,3:20:14
4240000,3:20:02
4260000,3:19:51
4280000,3:19:39
4300000,3:19:28
4320000,3:19:16
4340000,3:19:05
4360000,3:18:53
4380000,3:18:41
4400000,3:18:30
4420000,3:18:18
4440000,3:18:06
4460000,3:17:55
4480000,3:17:43
4500000,3:17:32
4520000,3:17:20
4540000,3:17:08
4560000,3:16:57
4580000,3:16:45
4600000,3:16:34
4620000,3:16:22
4640000,3:16:11
4660000,3:15:59
4680000,3:15:48
4700000,3:15:36
4720000,3:15:25
4740000,3:15:13
4760000,3:15:01
4780000,3:14:50
4800000,3:14:38
4820000,3:14:27
4840000,3:14:15
4860000,3:14:03
4880000,3:13:52
4900000,3:13:40
4920000,3:13:29
4940000,3:13:17
4960000,3:13:06
4980000,3:12:54
5000000,3:12:42
5020000,3:12:31
