#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
2000,401485.42510813044,96700.29352018225,451.33191179305305
4000,400632.67510813044,95908.6107579926,447.63686929022873
6000,399567.42510813044,96591.59833904123,450.82459581580804
8000,400682.30010813044,95067.9277569768,443.7131266391147
10000,399878.30010813044,96266.38564823195,449.3067217728334
12000,401008.05010813044,96404.90743779857,449.95324829135984
14000,400312.55010813044,96163.37400388019,448.82593272153105
16000,400464.67510813044,97079.11450169142,453.09999327024286
18000,400457.17510813044,96011.31991324609,448.11624652592997
20000,400545.80010813044,96730.1452637245,451.4712396481485
22000,400634.86260813044,96774.52592997358,451.6783787396206
24000,400771.30010813044,96884.33578680886,452.19089727307096
26000,400682.17510813044,96365.46362506342,449.76915111065745
28000,400461.80010813044,95912.05002136994,447.65292145779455
30000,399299.11260813044,96205.99995724834,449.0248819938166
32000,400628.80010813044,96061.72069920413,448.35148348596636
34000,399945.55010813044,96853.54547467973,452.0471888112653
36000,399971.61260813044,96882.15784144169,452.1807320893827
38000,398868.42510813044,96266.10432350845,449.30540873829466
40000,400175.17510813044,96134.46201022732,448.69099098667084
42000,399237.05010813044,95306.26704288134,444.825534074985
44000,399737.67510813044,96503.34216813557,450.41267538731336
46000,398932.92510813044,96989.77168382937,452.6830011048339
48000,399469.98760813044,95984.991758649,447.993364413418
50000,399532.48760813044,95845.57271656394,447.34265012379205
52000,399195.92510813044,96482.20444061654,450.3140186963683
54000,399749.23760813044,96507.52208384965,450.43218442168853
56000,399351.30010813044,97084.60189677752,453.12560473867603
58000,399697.80010813044,97635.91094466648,455.69874446260667
60000,400942.80010813044,97214.30446683709,453.73096907396877
62000,400306.73760813044,96377.56903038174,449.8256509983667
64000,400320.67510813044,96000.4048282716,448.0653022527578
66000,401025.67510813044,97402.5305700805,454.60948188849784
68000,400707.17510813044,96347.51240390958,449.6853668875962
70000,400716.30010813044,96271.90527244582,449.3324836651517
72000,399611.61260813044,97651.83884621388,455.77308519100103
74000,399851.05010813044,96765.98819121346,451.6385303191379
76000,399465.80010813044,96309.02520370693,449.50573453060235
78000,400844.55010813044,95001.44483833946,443.4028291035244
80000,399878.92510813044,94782.8802321814,442.382716568633
82000,400148.17510813044,95588.67859371146,446.1436411924364
84000,400377.73760813044,96217.44795836206,449.07831356098956
86000,400481.17510813044,95363.76693621348,445.09390489208147
88000,400254.05010813044,95958.46828072146,447.86957066300977
90000,399896.48760813044,95139.4346656336,444.0468727800584
92000,399741.98760813044,96173.82677126653,448.8747192072413
94000,400526.92510813044,95766.23621168727,446.97236069531687
96000,400813.73760813044,96079.81953455228,448.43595667277424
98000,400526.30010813044,96187.64686761308,448.93922211905453
100000,399896.42510813044,96733.90469061641,451.48878612359977
102000,400059.42510813044,97011.37285273732,452.7838208283868
104000,400238.23760813044,96568.48980892927,450.71674074428245
106000,401352.05010813044,96099.00769879716,448.5255141139896
108000,399753.30010813044,96088.80948154721,448.47791569705885
110000,400123.61260813044,95552.68287639134,445.9756374013097
112000,399941.05010813044,95918.90072231041,447.6848959207463
114000,399300.23760813044,96943.1319230264,452.4653180798658
116000,399552.55010813044,96659.27079913975,451.14044533063526
118000,401776.92510813044,95624.09225558105,446.3089283403173
120000,399543.17510813044,97143.6430785429,453.4011692532256
122000,400852.17510813044,96828.72481181426,451.93134265594097
124000,399918.61260813044,96647.8180209843,451.08699146744544
126000,400251.92510813044,97695.5251243792,455.9769833460708
128000,400420.92510813044,96179.58607913181,448.9015997815893
130000,400516.30010813044,97249.89543354744,453.8970837615586
132000,401104.92510813044,95686.42102366197,446.59983709595406
134000,399927.05010813044,96107.90760509018,448.5670528888556
136000,401234.98760813044,96574.85854065767,450.7464656992132
138000,401322.73760813044,96875.40159759007,452.1491984885725
140000,399661.42510813044,97232.70969908638,453.81687231537245
142000,400437.80010813044,96975.97430719074,452.6186042333318
144000,400101.17510813044,96150.9140205998,448.7677779024489
146000,400273.80010813044,95891.7242750004,447.5580545485677
148000,400520.86260813044,96344.38692104025,449.6707792363354
150000,399577.92510813044,96479.61499501672,450.3019329064445
152000,399831.92510813044,97536.75739527075,455.2359624028965
154000,399594.92510813044,96540.14612461254,450.58445149505434
156000,400292.55010813044,95365.59762585536,445.1024493196721
158000,399737.80010813044,95375.15016381163,445.1470341400623
160000,400226.42510813044,96840.15255808923,451.98467968715374
162000,400306.80010813044,96431.92998842476,450.0793713773575
164000,401004.67510813044,96140.30898191029,448.71828071674105
166000,400340.67510813044,96169.904231261,448.85641142951556
168000,400535.55010813044,96524.605234024,450.51191707344134
170000,401187.30010813044,95863.12125492282,447.42455489448474
172000,399660.92510813044,96144.05936098006,448.73578496304566
174000,400237.05010813044,96143.92246546107,448.7351460268641
176000,401633.05010813044,95177.9274746615,444.22653131527494
178000,401693.17510813044,96082.08637591079,448.4465367631424
180000,401062.92510813044,95926.6134508315,447.7208937484865
182000,401640.80010813044,96270.79786484037,449.327315031495
184000,400955.17510813044,96451.38330892217,450.170166389567
186000,399153.67510813044,97677.89296479803,455.89468828777143
188000,400377.80010813044,96337.78183447942,449.6399511360625
190000,400833.05010813044,95768.7281501994,446.9839913877565
192000,401646.05010813044,96741.30563060555,451.52332873223895
194000,400715.55010813044,97289.66596726561,454.08270585599723
196000,399413.42510813044,96289.99274188292,449.41690380353367
198000,400581.11260813044,96864.47337789787,452.0981929113749
200000,400419.17510813044,97442.98334302707,454.7982882166554
202000,399002.48760813044,97144.03832421405,453.40301399410373
204000,401538.36260813044,97069.22732736904,453.0538465924334
206000,400651.55010813044,96228.16004154505,449.12831035837524
208000,399800.30010813044,96242.00883165651,449.1929471933785
210000,399151.17510813044,96738.71750661405,451.51124911069365
212000,399567.05010813044,96962.56515131984,452.5560193151848
214000,399376.42510813044,96184.09812413319,448.9226589720264
216000,400426.17510813044,95993.53195002954,448.03322428108277
218000,399838.98760813044,94995.60417578078,443.3755688202017
220000,400143.17510813044,96518.45196030341,450.4831977315345
222000,401277.80010813044,96257.57040005771,449.26557812510924
224000,400256.73760813044,96527.62103023712,450.5259927811863
226000,400862.48760813044,96151.06495178695,448.7684823476866
228000,399316.30010813044,96723.71522024984,451.4412285312358
230000,400857.55010813044,96728.75934988819,451.4647711347806
232000,400494.98760813044,95306.82793941774,444.8281519626549
234000,399637.67510813044,95540.90456027118,445.92066414591727
236000,400195.80010813044,95907.1200735732,447.6299117782668
238000,400177.67510813044,97018.55192595674,452.8173279122133
240000,398859.48760813044,96183.71975779464,448.9208930125167
242000,399831.92510813044,96452.14659879729,450.1737289131752
244000,399666.67510813044,95438.19707270851,445.44129469387474
246000,400230.42510813044,96142.25106402813,448.72734504946635
248000,400759.80010813044,96597.39526333008,450.8516519583135
250000,399717.30010813044,96816.80056736479,451.8756883052854
252000,400177.42510813044,97854.60989429057,456.7194840224133
254000,401096.73760813044,96760.19589757058,451.6114957893723
256000,399116.17510813044,96924.16210668487,452.37677973976247
258000,400428.11260813044,96878.86405715998,452.1653589203593
260000,400684.11260813044,96648.35597088048,451.08950225563706
262000,400091.80010813044,97708.82373518951,456.03905231424784
264000,400449.80010813044,96131.16318829241,448.6755943052716
266000,400261.42510813044,96155.52761626057,448.78931106304253
268000,399477.23760813044,96505.70082909148,450.42368402978747
270000,399754.05010813044,96878.24584308523,452.16247351298256
272000,399880.67510813044,97349.50483924954,454.3619934518142
274000,400905.61260813044,95936.6542521359,447.76775745369025
276000,400345.80010813044,96068.2931704768,448.3821593600171
278000,399141.80010813044,96770.18044136558,451.6580969223713
280000,400274.17510813044,96120.7643930181,448.62705972506865
282000,399991.92510813044,96807.59119198052,451.8327051369072
284000,399581.61260813044,96816.22439439979,451.8729991175245
286000,399013.17510813044,95903.46515581268,447.6128530811289
288000,400010.05010813044,96571.57877337141,450.7311579520942
290000,398695.73760813044,96034.27903950866,448.223404280803
292000,399011.98760813044,95934.4231844903,447.75734433094607
294000,400518.05010813044,96304.7535076408,449.4857971272922
296000,401034.55010813044,97123.13614459755,453.3054566822949
298000,399399.86260813044,96692.95163686201,451.29764482121186
300000,401098.17510813044,96190.53180688899,448.9526870746551
302000,399304.92510813044,97213.13664255262,453.72551845590175
304000,399720.92510813044,96528.0390535579,450.5279438328086
306000,399455.17510813044,96000.52589766195,448.06586732321847
308000,400639.67510813044,95962.59434290743,447.8888283453474
310000,400430.05010813044,95959.3315779795,447.87359995379813
312000,399747.98760813044,97331.47064364795,454.27782195985463
314000,400104.98760813044,95745.8079102938,446.8770151282357
316000,399905.80010813044,97067.81282615801,453.0472446524334
318000,400420.86260813044,95801.48243907318,447.13686637167507
320000,400999.67510813044,95322.02661767416,444.8990891673364
322000,400074.17510813044,96988.45471258601,452.6768543691064
324000,400693.55010813044,95924.33794243867,447.7102732062332
326000,400017.17510813044,96739.21248897491,451.5135593553382
328000,400391.86260813044,96852.85847568279,452.04398236214917
330000,400683.73760813044,96852.77385481447,452.0435874088673
332000,400286.17510813044,96252.9089221335,449.24382148232434
334000,400065.42510813044,95796.35389862396,447.1129297952554
336000,399062.30010813044,96978.74906356726,452.6315549292871
338000,400863.05010813044,96256.79474712978,449.2619578990882
340000,399949.86260813044,97522.37093008432,455.1688160623823
342000,399716.61260813044,95511.99941370264,445.78575436864014
344000,400621.17510813044,95383.33179542329,445.185220491959
346000,398718.73760813044,96378.22894052137,449.8287310149219
348000,400010.17510813044,96358.40879539121,449.73622391212035
350000,400125.36260813044,95262.38429693299,444.62071894048415
352000,399723.42510813044,96131.30137522472,448.6762392689017
354000,401331.42510813044,96381.92199586146,449.84596771262284
356000,399270.17510813044,96758.52460111398,451.60369530193356
358000,399745.30010813044,96069.80525102583,448.3892167347172
360000,400283.92510813044,96801.03707266541,451.8021149174474
362000,399807.55010813044,96813.8916471164,451.86211142263943
364000,400480.05010813044,96263.46544653334,449.29309223596766
366000,399687.73760813044,95417.8723968562,445.34643278110207
368000,400575.05010813044,96106.3016819912,448.559557520268
370000,400536.05010813044,96212.16410133569,449.0536520712821
372000,399817.23760813044,96276.31369338563,449.35305920818604
374000,399807.55010813044,96293.81769630103,449.4347561173913
376000,399906.55010813044,97064.6630003833,453.0325433848677
378000,400155.61260813044,96948.0303042999,452.4881804281006
380000,400213.30010813044,95691.01234915806,446.6212663144019
382000,400983.36260813044,96198.35844508698,448.9892165561305
384000,400831.17510813044,97035.703038743,452.8973777677143
386000,402217.30010813044,97629.44761554501,455.6685779906887
388000,400438.86260813044,97735.5974643575,456.1640140690816
390000,400003.80010813044,96795.21075922553,451.7749216061574
392000,399931.30010813044,96355.00024726032,449.72031510266027
394000,401473.92510813044,95721.00777111741,446.76126476368404
396000,400289.05010813044,96705.78328303527,451.3575343126292
398000,399938.36260813044,96467.34173440852,450.2446495831723
400000,400581.80010813044,96292.78456324944,449.4299341473813
402000,400399.98760813044,96872.70486479206,452.13661195418865
404000,399735.11260813044,96512.8658548838,450.4571255496751
406000,400314.36260813044,96476.68881076976,450.2882754470681
408000,400203.42510813044,96933.62046463684,452.42092499125533
410000,399774.30010813044,96347.98393170699,449.68756766211834
412000,400318.73760813044,96035.73063765606,448.23017936434377
414000,400814.80010813044,96757.74546056194,451.6000587980295
416000,400101.05010813044,96616.43094495859,450.94049771326337
418000,401041.42510813044,96814.92615626403,451.86693981533995
420000,401055.73760813044,96159.7139173667,448.8088499001317
422000,400022.73760813044,96604.75569308922,450.88600549245365
424000,400259.80010813044,96341.48420946929,449.6572313316185
426000,399656.30010813044,96741.53188714408,451.5243847455391
428000,400194.55010813044,96666.5463549238,451.17440273016155
430000,399422.80010813044,94985.40143583762,443.32794929438177
432000,400217.17510813044,96177.39055961379,448.8913525735884
434000,399351.92510813044,96985.24712425272,452.66188350477904
436000,400214.55010813044,95590.66015296569,446.15288977787486
438000,400120.67510813044,96209.12375020247,449.0394617576903
440000,400248.55010813044,96279.80047168944,449.3693331434614
442000,400140.42510813044,96415.19039857527,450.0012422340595
444000,399468.55010813044,96541.57919823984,450.5911401185983
446000,399736.92510813044,97360.51374264457,454.41337560625396
448000,400108.55010813044,97697.24064996722,455.9849902653385
450000,400129.17510813044,97139.14554449008,453.3801777901336
452000,399712.67510813044,96408.52845065156,449.9701487432
454000,399578.80010813044,96413.8363118791,449.9949222683689
456000,399682.80010813044,95590.74829907622,446.15330118461554
458000,399389.98760813044,96695.8813923701,451.31131894883254
460000,400764.17510813044,95263.13287665835,444.62421280701005
462000,399234.05010813044,96111.27843359625,448.58278564848416
464000,399771.80010813044,96192.11484696274,448.9600756406761
466000,400192.17510813044,96580.76569130755,450.7740363042135
468000,400611.17510813044,95597.86917944043,446.18653666334507
470000,400160.42510813044,95409.28459720383,445.3063507100545
472000,399716.55010813044,95977.18581160816,447.95693150434346
474000,401448.61260813044,97131.88626155956,453.3462963413395
476000,400651.48760813044,96850.0414080508,452.0308341857196
478000,399886.86260813044,97223.67996164947,453.774727576075
480000,400258.05010813044,96395.80648812093,449.9107711812332
482000,399849.92510813044,96999.72510897835,452.72945699692946
484000,400214.42510813044,96634.15156663209,451.02320565309395
486000,399860.48760813044,95656.58229163976,446.4605699698801
488000,399682.36260813044,96878.14444492036,452.16200025456794
490000,400422.92510813044,96187.9248969534,448.9405197729617
492000,401257.36260813044,96285.92768086633,449.39793083361405
494000,399614.61260813044,96816.8221813332,451.8757891847485
496000,399683.48760813044,96773.53952956107,451.67377488612885
498000,401211.80010813044,95913.62729334156,447.6602831021956
500000,399341.42510813044,96937.9513292613,452.4411385535882
502000,398780.42510813044,95975.72982920823,447.9501359580615
504000,400045.55010813044,95995.68057970656,448.0432526388525
506000,400531.42510813044,96314.36852884386,449.5306735774407
508000,400339.67510813044,96205.18244429445,449.0210663933571
510000,399370.92510813044,96497.08797485707,450.38348502080726
512000,399290.23760813044,95625.71053703874,446.31648138940875
514000,399912.67510813044,95646.7826832548,446.41483199095364
516000,400087.30010813044,96460.9182539332,450.214669097925
518000,400514.67510813044,95870.92639039014,447.4609840156801
520000,400415.80010813044,95569.25410366978,446.0529807413977
522000,400808.98760813044,96583.26849021553,450.7857176856743
524000,400682.30010813044,96802.96258244105,451.81110190162894
526000,399437.42510813044,96292.96339994017,449.43076883673524
528000,400450.92510813044,96384.61701274756,449.85854623828436
530000,400567.30010813044,96830.50084244553,451.93963197204374
532000,401058.17510813044,97232.86926456937,453.817617059694
534000,400346.80010813044,96057.33454893949,448.33101188746036
536000,399229.42510813044,97188.60717368405,453.6110313982445
538000,400581.61260813044,96163.02834542654,448.8243194204227
540000,400278.30010813044,96144.62919976725,448.7384445871262
542000,400115.17510813044,95894.49778066762,447.57099940705353
544000,400453.05010813044,97068.96762171527,453.0526344611673
546000,399679.67510813044,97194.52171759203,453.6386365099995
548000,399062.80010813044,95928.61935176881,447.73025594452486
550000,400121.05010813044,96204.49220237695,449.01784480846953
552000,399171.17510813044,94759.48577962743,442.2735270035121
554000,400298.98760813044,97119.34268418071,453.28775136124653
556000,398540.55010813044,95984.00791791198,447.98877250676935
558000,399435.48760813044,95751.36245637393,446.90294001233093
560000,399464.98760813044,95868.00106822746,447.44733057993307
562000,399594.42510813044,95891.8117578174,447.5584628595005
564000,399955.17510813044,96326.99759819917,449.5896175765622
566000,400705.80010813044,95852.24998614984,447.3738151258624
568000,399833.05010813044,96585.54298046278,450.79633347590897
570000,399937.92510813044,96183.1679481729,448.9183175364508
572000,399455.61260813044,95459.18688046187,445.53926099487165
574000,399680.30010813044,95470.71539831068,445.59306835999365
576000,400261.80010813044,95889.34572464525,447.54695307575923
578000,400857.67510813044,96176.20375861297,448.88581338497676
580000,399337.05010813044,96654.8520889827,451.11982176445736
582000,400286.17510813044,95829.77256716666,447.26890565648483
584000,400240.17510813044,96460.39380258741,450.21222131188506
586000,401108.92510813044,96107.10718621965,448.56331707207653
588000,399093.42510813044,97033.72853076737,452.8881620929004
590000,399249.80010813044,96361.79706896748,449.7520380936
592000,400298.48760813044,96230.95128562569,449.14133800784083
594000,399568.30010813044,96604.94465433736,450.88688743643
596000,399946.92510813044,95748.98893738235,446.8918620225426
598000,399070.92510813044,96533.79296730156,450.55479923102587
600000,399209.17510813044,96886.52938625845,452.2011355194842
602000,398455.92510813044,95741.20552687207,446.85553429883055
604000,400130.67510813044,96160.30872024782,448.81162603980727
606000,399984.05010813044,96123.17323730933,448.63830258958944
608000,400832.42510813044,94831.71224834747,442.6106315667229
610000,398861.30010813044,97185.70600678818,453.59749070303167
612000,399727.42510813044,95896.2706352967,447.57927389971485
614000,399793.80010813044,95576.77235313295,446.0880708717378
616000,400067.61260813044,96213.43115639733,449.05956583185616
618000,400008.36260813044,97706.32618021918,456.02739540796006
620000,400184.42510813044,96077.91565908398,448.4270706629842
622000,400404.17510813044,97372.78946660459,454.47067042679515
624000,398361.17510813044,96394.71762481448,449.9056890998879
626000,400206.67510813044,96495.93622540597,450.3781094292475
628000,400920.48760813044,96428.99661563383,450.0656803666942
630000,401028.30010813044,97433.09834096581,454.7521516774995
632000,400445.67510813044,96341.39558714023,449.6568177022101
634000,398830.67510813044,96971.16539923917,452.5961594863676
636000,399367.92510813044,95420.49074111949,445.35865345054435
638000,399890.17510813044,96485.39315989497,450.3289014926424
640000,400219.05010813044,96853.20553839207,452.04560221737796
642000,399486.67510813044,96102.07255194208,448.53981878648756
644000,399623.36260813044,96495.43912395602,450.37578929412075
646000,400289.92510813044,94830.8648338751,442.6066764060922
648000,400703.05010813044,95587.0716848718,446.1361412230746
650000,400085.11260813044,97612.40803029179,455.58904867067787
652000,400772.42510813044,95336.8223595526,444.96814573609436
654000,400107.17510813044,95975.29014545679,447.9480838101217
656000,399362.73760813044,96149.64506867109,448.7618552885756
658000,399831.80010813044,95459.40831973404,445.54029452441347
660000,399403.42510813044,97510.36467280053,455.112778930993
662000,400542.23760813044,97299.43846696883,454.1283173098356
664000,399518.55010813044,95995.96971447999,448.04460212544984
666000,400519.42510813044,96968.16517219157,452.5821564450126
668000,401127.73760813044,96776.11670381247,451.68580340165414
670000,399813.80010813044,97328.1266398225,454.262214399788
672000,399856.42510813044,96342.43311960762,449.6616602057332
674000,400291.67510813044,96652.29699112312,451.1078962866764
676000,400382.98760813044,96476.74118782603,450.28851990792833
678000,400061.23760813044,96777.4476692992,451.69201545309465
680000,400280.98760813044,96054.67108892335,448.31858064803697
682000,398866.05010813044,95153.98583449144,444.11478784650086
684000,398869.42510813044,96259.50528586493,449.27460887029815
686000,400178.30010813044,96115.77813793719,448.603787241021
688000,399389.48760813044,96572.96471273876,450.73762658462385
690000,399556.23760813044,96698.1491057151,451.32190310904696
692000,400606.17510813044,96987.0470127773,452.6702841734765
694000,399771.55010813044,95832.86745331902,447.2833505028559
696000,400216.05010813044,95864.49087889853,447.430947377743
698000,400791.73760813044,96932.11179292016,452.4138835266913
700000,399970.11260813044,96267.73855319829,449.31303622300413
702000,400327.67510813044,96364.06551094726,449.76262565459126
704000,399436.42510813044,96379.26775019942,449.8335794796051
706000,399975.73760813044,95544.25420322828,445.9362980256566
708000,399800.92510813044,94867.53558347665,442.7778307937581
710000,399730.17510813044,96251.85474311514,449.2389012839009
712000,400966.05010813044,96599.81699458417,450.8629549705068
714000,400355.67510813044,96980.15323043021,452.6381086355031
716000,400408.67510813044,96533.59373872099,450.55386936604947
718000,399619.36260813044,97304.97426406201,454.1541546862738
720000,399893.48760813044,96754.97543549351,451.5871301846372
722000,400457.11260813044,96576.1782244835,450.7526250954507
724000,400405.80010813044,95423.11979190912,445.37092409084846
726000,400140.55010813044,96434.46326853521,450.0911950245641
728000,399924.48760813044,96368.80156334979,449.78473036086854
730000,399712.55010813044,95575.94967357768,446.084231157059
732000,400471.05010813044,95866.17500564735,447.43880774835384
734000,398741.11260813044,96589.9521884066,450.8169126921485
736000,400552.67510813044,96629.85751184169,451.00316389430145
738000,399182.42510813044,96831.84175914968,451.94589046907214
740000,399582.86260813044,96250.01547664416,449.2303168254424
742000,400671.30010813044,95950.52308954461,447.83248785598954
744000,399585.67510813044,96281.76833054959,449.3785177846777
746000,400048.05010813044,96469.9349807417,450.25675311236233
748000,398852.17510813044,96108.96730307722,448.5719988461118
750000,400870.92510813044,97084.53439098177,453.1252896670383
752000,400518.05010813044,95705.97499297885,446.6911018691379
754000,399567.30010813044,96530.56834957865,450.5397488849648
756000,399491.05010813044,96878.63415322127,452.16428588344894
758000,400418.30010813044,97637.93420419667,455.708187676878
