#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
1000,365481.55010813044,249.80299394252697,299.8234280827784,0.9554915734692786
2000,365223.17510813044,249.29442606407474,299.4877900513829,0.9565623994641519
3000,365243.17510813044,250.65373825654407,299.5234134690927,0.9564486319909286
4000,364748.23760813044,251.12864704992282,299.80836058813645,0.9555395936917148
5000,365241.05010813044,250.3043463259397,299.7970722282827,0.9555755729449741
6000,365618.05010813044,250.08509671712497,299.8210401059793,0.9554991836480318
7000,364164.30010813044,248.79920528279726,300.3111031987066,0.9539399509721519
8000,365228.05010813044,250.5997271012005,300.9874030791041,0.9517965075318318
9000,364865.05010813044,248.28454597150304,298.9575029747699,0.9582591378746695
10000,365513.55010813044,250.78867735261213,298.317683539064,0.9603143724607708
11000,365511.86260813044,251.4690822403111,298.6708187232958,0.9591789391623688
12000,364958.30010813044,252.19881262630534,299.03317417686117,0.9580166476523806
13000,365417.73760813044,251.43006322246575,300.52072522293133,0.9532745498642472
14000,365229.80010813044,247.96451203058976,299.6787928838356,0.9559527262672025
15000,364982.11260813044,248.0771902530244,299.04643360240567,0.9579741701339
16000,365333.23760813044,247.42538881129698,298.8009033098734,0.9587613554322907
17000,365498.92510813044,251.54388753090203,299.54807513343377,0.9563698879859434
18000,364791.05010813044,246.6989340314055,300.0330938795853,0.9548238674522412
19000,364970.92510813044,247.7387866202657,299.8867749364519,0.955289739344037
20000,365461.67510813044,251.4962486232476,298.64341105858006,0.9592669667357004
21000,365269.67510813044,250.16648697677917,299.2041813163453,0.9574691028761931
22000,365312.17510813044,251.1311218207856,300.19956799375484,0.9542943748264379
23000,365985.80010813044,251.61728084371876,300.4793344602172,0.953405862590847
24000,365706.42510813044,250.69005874078908,299.1795466138759,0.9575479417097296
25000,365689.30010813044,249.94032007184157,299.2536635360224,0.9573107833558148
26000,365256.98760813044,248.52963278281243,298.92642414755807,0.9583587663041572
27000,365228.92510813044,251.08286741910885,300.91536775964084,0.9520243555343932
28000,365174.42510813044,251.24420687973893,301.1063623170166,0.9514204776588244
29000,365268.80010813044,253.17334982884486,299.2569000440958,0.957300429896701
30000,364955.42510813044,249.97229394836802,298.57531923553,0.9594857330983185
31000,365439.42510813044,250.50732776656955,298.89794342802156,0.9584500842534394
32000,365282.67510813044,250.83354893388983,299.85089300995827,0.9554040549489136
33000,365316.80010813044,250.32396380644929,300.0467805692266,0.9547803129841309
34000,365059.67510813044,251.5699630435102,299.497617288518,0.956531012351229
35000,365742.05010813044,249.86647536093054,299.3241739051218,0.9570852742170216
36000,365300.92510813044,248.94332486883647,300.5044500484082,0.9533261787491605
37000,364874.55010813044,251.27417532230555,299.94163401814257,0.9551150176251916
38000,365580.11260813044,252.2103050557826,298.5175612471366,0.9596713770035025
39000,365607.48760813044,248.54669102194887,298.84177828427414,0.9586302179919877
40000,364804.05010813044,247.63740448709456,296.98444245865494,0.964625475631268
41000,364803.30010813044,249.91569342605263,297.9267556430621,0.9615744596131183
42000,365285.42510813044,251.18695137840814,299.00343664032636,0.9581119276778567
43000,365007.80010813044,248.33545352529546,297.35356801700897,0.9634280192843695
44000,364982.42510813044,247.7265198538884,298.61700816450076,0.9593517824810329
45000,365089.05010813044,249.94470834795817,297.65354972326344,0.9624570556209191
46000,365810.30010813044,251.73740993956307,298.92157206463577,0.9583743223450657
47000,365499.86260813044,252.47064628562975,298.9598860486001,0.9582514993840876
48000,365415.11260813044,251.00110506591622,297.869436621785,0.9617594954044207
49000,365595.11260813044,253.09689176982593,298.55706185895855,0.9595444076184757
50000,365086.98760813044,250.90143366207667,298.30091246125943,0.9603683632679878
51000,365487.17510813044,251.07349768872527,299.78124317504063,0.9556260292592541
52000,365511.92510813044,250.27882282766035,299.1653886806158,0.9575932574459913
53000,365210.36260813044,252.30633347283603,297.16028331257075,0.9640546706587694
54000,365989.55010813044,250.30992642159862,297.73246540972036,0.9622019508941801
55000,366054.17510813044,248.03201189595578,297.97135206104775,0.9614305438432679
56000,365582.11260813044,251.37568532632415,297.1995369356253,0.9639273399131153
57000,365823.36260813044,249.81736951499826,299.7758358880055,0.9556432666200414
58000,365100.92510813044,251.00326068876993,297.1243658789553,0.9641712089626295
59000,365018.80010813044,250.8602633214928,297.9261430163342,0.9615764369025527
60000,365610.23760813044,251.8164169257835,298.53015640503475,0.9596308879196885
61000,365137.30010813044,254.8382104040825,298.42960864208175,0.9599542095213217
62000,365088.55010813044,250.78732203274785,299.8405504073234,0.9554370103463161
63000,365224.05010813044,251.83332105084955,296.93071386628543,0.9648000212964658
64000,365801.80010813044,250.23394634509287,298.7411198149982,0.9589532208996706
65000,364615.73760813044,251.62498625415463,297.4045965611349,0.9632627147471746
66000,365613.86260813044,252.96810799628233,298.5843228274903,0.9594568005075155
67000,365622.55010813044,250.96283185836725,298.79028527638025,0.9587954266879021
68000,365288.80010813044,252.32619875554562,297.9282633820142,0.9615695933300351
69000,365042.86260813044,245.72615073389105,298.41232936087226,0.9600097947539092
70000,364935.30010813044,250.81518756779892,299.1088423362265,0.9577742898678264
71000,365387.11260813044,252.0562015671906,299.8848177045029,0.955295974149829
72000,365016.67510813044,254.36345219522207,299.4902888336608,0.9565544184335122
73000,365371.48760813044,252.85884230951882,298.96520733873604,0.9582344434386925
74000,365498.23760813044,251.15226253612627,299.2302546989743,0.9573856739518691
75000,365276.86260813044,251.86020169695027,299.0958553767945,0.9578158771236307
76000,365746.23760813044,253.3622149915436,298.5971990048483,0.9594154265898371
77000,365435.11260813044,249.6232190110586,299.0979712909019,0.9578091012297055
78000,365215.73760813044,252.86310889910462,298.53835256159726,0.9596045419412502
79000,365755.80010813044,249.68628823913429,300.27187127577025,0.9540645876838206
80000,365531.92510813044,250.99031379170611,298.87675244193986,0.958518040366551
81000,365230.80010813044,252.1890946554962,298.45433440350166,0.9598746811110339
82000,365968.05010813044,251.24921693231934,297.90636422674544,0.9616402784994532
83000,365754.05010813044,251.71080839683364,299.4861326309405,0.9565676932854764
84000,365842.80010813044,250.67051217328606,299.7844813853187,0.9556157067835355
85000,365507.05010813044,251.38259739595225,298.92697402003506,0.9583570034150423
86000,365323.55010813044,252.6847597670233,298.44459061687667,0.9599060196387657
87000,364894.05010813044,251.0263151237223,298.3555618860526,0.9601924537648755
88000,365467.17510813044,248.96901115075053,297.8831480565009,0.9617152260235589
89000,365615.92510813044,253.79093711008255,299.8790871325754,0.9553142294818172
90000,365715.73760813044,255.30759742678018,298.4389171489575,0.9599242679156991
91000,365487.42510813044,253.6188134539072,298.34894023015175,0.9602137645964893
92000,365010.17510813044,251.31530662349627,299.6988606766042,0.9558887158096253
93000,365306.61260813044,251.6848886419321,299.84506796576477,0.9554226154371035
94000,365401.67510813044,251.04515620266838,299.0131780793709,0.9580807137059466
95000,365425.86260813044,253.8026090088018,298.5374736017382,0.9596073672276798
96000,364893.67510813044,249.77378872443504,300.4568968027755,0.9534770614695393
97000,365399.30010813044,252.57414729556626,299.53206286090176,0.9564210132482661
98000,365667.55010813044,251.08227394075521,299.4463774075724,0.9566946895198022
99000,365289.67510813044,250.45417340455472,300.5541928767069,0.9531683997477488
100000,365476.48760813044,252.73815929890003,297.82837466870035,0.9618920943326554
101000,365200.92510813044,252.67599151811277,298.5519594667865,0.9595608066797409
102000,365572.42510813044,252.15442466985354,297.9427265057218,0.9615229155670136
103000,365367.61260813044,251.90375661855623,297.01774824792733,0.9645173083146426
104000,365697.92510813044,250.8946290910133,299.2764956901594,0.9572377489956917
105000,365035.86260813044,252.82160407437982,298.1890732043804,0.960728560517752
106000,365300.92510813044,254.82052419679852,296.8471335672406,0.9650716704558476
107000,365361.86260813044,253.02512637018916,296.81777567619696,0.9651671245400445
108000,365683.36260813044,253.2921066099657,297.94680206248955,0.961509763080735
109000,365802.67510813044,257.4741046418651,296.7174546241089,0.9654934504095399
110000,365258.80010813044,253.10994830679869,297.1975666022097,0.963933730470985
111000,365218.05010813044,251.73259860962216,296.71814211435094,0.9654912133797404
112000,365394.30010813044,253.21892439959288,299.6932990758027,0.9559064548497186
113000,365533.67510813044,251.65963285709887,300.0317251353146,0.9548282233572626
114000,365369.55010813044,249.05186709255955,299.69233905038027,0.9559095169716968
115000,365548.23760813044,253.61921197802474,299.69629186954705,0.9558969090831012
116000,366102.11260813044,253.60343904065564,298.67338160977386,0.959170708543624
117000,364873.30010813044,251.72431844828958,299.1740555119091,0.9575655167410172
118000,365371.30010813044,251.79807905368702,299.0205574592101,0.958057069707811
119000,366051.92510813044,253.52525153515026,298.7498173565,0.9589253027723532
120000,365331.17510813044,253.77104748231372,299.1475232637687,0.9576504459613019
121000,365947.92510813044,253.85121753136607,298.091874633557,0.9610418244842603
122000,366217.73760813044,251.6216304295364,299.5637318601668,0.9563199032234392
123000,366199.48760813044,253.47154226357839,300.15168518913805,0.9544466121562665
124000,365853.73760813044,253.5397263931895,299.2557606442032,0.9573040747655739
125000,364947.30010813044,253.14441699068914,298.35526312491197,0.9601934152635591
126000,365253.42510813044,250.96769395440498,299.0542810888193,0.9579490319240157
127000,365159.73760813044,254.2216799077785,299.0875176737333,0.9578425782859956
128000,365599.92510813044,256.97456356239275,299.3889082463427,0.9568783317318056
129000,365569.98760813044,253.58421772584677,299.2706102682563,0.957256573924773
130000,365397.86260813044,254.0224203663924,299.1646307620963,0.9575956834602636
131000,365701.86260813044,253.08431833879237,298.97442151964907,0.9582049113286407
132000,365970.80010813044,254.0132890685104,299.8140938366648,0.9555213212152637
133000,365208.42510813044,252.2935457017917,298.856930344948,0.9585816153940488
134000,365540.73760813044,253.294157848162,299.53007423548576,0.9564273630718696
135000,365271.23760813044,254.28052587775625,298.2480219595388,0.9605386724094738
136000,365465.42510813044,253.5449162780367,297.5784920821839,0.9626998142817678
137000,365493.23760813044,255.3336279016717,297.63941681877594,0.9625027562669753
138000,365431.05010813044,252.6053320775372,297.1833872458476,0.9639797221396326
139000,365468.05010813044,253.32214028036148,297.6516857255504,0.9624630828595898
140000,365279.42510813044,252.83190788453902,297.93623239473425,0.9615438738656421
141000,365090.36260813044,252.55590479472733,298.39500388326985,0.9600655350578041
142000,366179.67510813044,250.59459913138292,298.55768347201445,0.9595424097957281
143000,366220.05010813044,253.48614607241288,299.24966110268997,0.9573235872887406
144000,365839.98760813044,256.10650945680015,298.3362386971905,0.9602546452713754
145000,365403.30010813044,252.78580048237038,298.1958500206916,0.9607067269443503
146000,365187.11260813044,253.15060131835548,298.13066085483484,0.9609167948051429
147000,365649.30010813044,250.35867156677628,297.83725126383786,0.9618634265731623
148000,365830.80010813044,251.74216076553756,298.8247200622019,0.9586849407978529
