Warning: 'advanced_options.json' have been modified after configuration by elwood. This is possible but not recommended.
#"Step","Time Remaining"
20000,--
40000,10:12
60000,9:59
80000,9:46
100000,9:34
120000,9:21
140000,9:09
160000,8:57
180000,8:45
200000,8:32
220000,8:20
240000,8:08
260000,7:55
280000,7:42
300000,7:30
320000,7:17
340000,7:05
360000,6:52
380000,6:39
400000,6:27
420000,6:14
440000,6:01
460000,5:49
480000,5:36
500000,5:23
#"Step","Time Remaining"
20000,--
40000,4:26
60000,4:14
80000,4:03
100000,3:51
120000,3:40
140000,3:28
160000,3:17
180000,3:05
200000,2:53
220000,2:42
240000,2:30
260000,2:19
280000,2:07
300000,1:55
320000,1:44
340000,1:32
360000,1:21
380000,1:09
400000,0:57
420000,0:46
440000,0:34
460000,0:23
480000,0:11
500000,0:00
