#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
2000,397729.61260813044,440.71529145244153,240.1716332551255,1.192808472753529
4000,402831.23760813044,459.75687093367503,241.25312776444824,1.1874613262692104
6000,405273.55010813044,471.7763125210315,241.67135003966092,1.185406375289221
8000,406771.61260813044,468.8396135301163,243.1579531717581,1.178159115607494
10000,404958.30010813044,467.9522933265816,243.33292686378226,1.177311935355702
12000,404945.42510813044,472.7686489233304,242.13917111440878,1.1831161300474102
14000,407353.80010813044,463.26037928743483,243.89120742400328,1.1746170027512535
16000,407106.80010813044,471.19728338752583,243.9308784395693,1.1744259722031805
18000,407260.73760813044,472.89388714256603,242.32937446628907,1.182187506952937
20000,404403.05010813044,465.79250886044804,244.5154809340363,1.1716180831063667
22000,405239.67510813044,472.93484535059656,244.0997974123563,1.1736132602265956
24000,406765.67510813044,472.19976820322216,244.31898597584654,1.1725603637291142
26000,404684.67510813044,472.05597712709965,243.45412454338359,1.1767258394125766
28000,406140.55010813044,467.04930974801033,245.25764674715376,1.1680726895219289
30000,405743.86260813044,470.4021645792433,243.67898946651954,1.1756399666994184
32000,405402.80010813044,467.63998640990087,244.11902068295063,1.1735208434816353
34000,405862.73760813044,473.33679619348345,243.58524765229762,1.1760924022406196
36000,405430.92510813044,473.8479757717652,241.76188198879032,1.1849624792176712
38000,405157.86260813044,469.5151486564275,243.06776256898615,1.1785962730473574
40000,405889.92510813044,467.4790141352599,242.44576944249678,1.181619954518175
42000,404683.05010813044,465.8235854588578,242.7698768136254,1.1800424452235356
44000,405351.92510813044,469.996897134178,242.4618937572204,1.1815413738730471
46000,404682.30010813044,472.2766019289145,242.6902602722865,1.1804295678794523
48000,405519.17510813044,470.4081096222647,243.53923173765205,1.1763146209246924
50000,405750.05010813044,470.7592229078161,243.09665252420567,1.1784562069740623
52000,403919.61260813044,468.09523958398086,243.1556754769243,1.1781701516934326
54000,405701.67510813044,472.4783757449256,244.35383790666816,1.1723931226780593
56000,405196.42510813044,471.55405305629324,243.3640868836374,1.1771611938730489
58000,405289.05010813044,469.3896420070834,242.466506326425,1.1815188967835817
60000,405703.42510813044,470.71424884266446,242.59474914362102,1.1808943106685534
62000,407077.80010813044,471.78358042885526,243.6573818898493,1.175744222644878
64000,404545.92510813044,473.08756354104594,241.1475306153933,1.1879813089136397
