#"Step","Potential Energy (kJ/mole)","Temperature (K)"
1002000,297.9498291015625,391.4509601764695
1004000,280.83782958984375,422.71404897749244
1006000,186.079345703125,451.29434955782517
1008000,262.7750244140625,438.0430802864532
1010000,265.70794677734375,438.057386126948
1012000,259.392578125,438.55706096866743
1014000,219.677490234375,496.6826601494367
1016000,197.9736328125,455.8322213039365
1018000,250.02685546875,463.2601998115987
1020000,240.6595458984375,464.29373650195413
1022000,344.311279296875,458.2126209208118
1024000,187.55291748046875,502.034922699398
1026000,269.291015625,449.74181819176545
1028000,285.6497802734375,439.06331470229634
1030000,216.86083984375,427.7770406429124
1032000,252.116943359375,421.63425581898554
1034000,306.44146728515625,422.78648797235275
1036000,206.1812744140625,519.2762938457702
1038000,220.905517578125,470.3717851216905
1040000,324.97650146484375,447.94802816541954
1042000,268.2060546875,447.5710058140771
1044000,180.16693115234375,412.9641829101281
1046000,315.49188232421875,433.97829878173775
1048000,340.054931640625,450.82561483301333
1050000,295.63018798828125,510.95151051588664
1052000,297.03387451171875,531.1607665149066
1054000,270.60699462890625,490.82872555201095
1056000,320.72314453125,479.08351854933596
1058000,216.6141357421875,457.0915754183045
1060000,227.1622314453125,495.3320013673352
1062000,273.3575439453125,469.15692251072903
1064000,202.21026611328125,383.7635346551329
1066000,231.16680908203125,440.86957428752333
1068000,271.7005615234375,444.9105000370139
1070000,345.6417236328125,432.7323865687883
1072000,277.2518310546875,411.89716545778236
1074000,290.334228515625,436.58679551216477
1076000,275.4598388671875,482.0036348466148
1078000,266.5035400390625,502.1844178744501
1080000,194.13922119140625,464.77197463711457
1082000,194.426513671875,483.5473827215112
1084000,162.0963134765625,438.2245648673155
1086000,196.15771484375,399.0264991213315
1088000,226.5987548828125,409.7059996258103
1090000,131.6876220703125,494.2078042588322
1092000,216.96258544921875,346.61155007547075
1094000,177.74951171875,503.70987722890595
1096000,276.81634521484375,508.8870050010119
1098000,195.14617919921875,474.20194327025376
1100000,277.109375,418.51281196538633
1102000,286.24456787109375,495.59170452527235
1104000,292.96331787109375,454.6338429953397
1106000,252.616455078125,441.43664232435344
1108000,310.3155517578125,512.0443145330012
1110000,311.2066650390625,452.73509771381555
1112000,254.19573974609375,458.5355816725409
1114000,263.8809814453125,477.2470764637962
1116000,337.12353515625,533.9176190647952
1118000,212.4798583984375,389.3046177177724
1120000,184.08599853515625,459.09721738297253
1122000,279.8193359375,410.95583355947934
1124000,217.36431884765625,447.1321764289965
1126000,259.2677001953125,434.9031772335808
1128000,207.5538330078125,437.2267304030649
1130000,180.67095947265625,442.41813043996115
1132000,227.03857421875,482.9406125619808
1134000,239.1861572265625,424.1691675561037
1136000,307.77044677734375,507.90791092556077
1138000,169.97705078125,375.40781370061677
1140000,210.32781982421875,452.8464997248237
1142000,303.45587158203125,412.38348278714454
1144000,195.64398193359375,535.8825526139794
1146000,226.1131591796875,439.0607602464397
1148000,188.22760009765625,385.6917147089661
1150000,258.54693603515625,510.9591643484044
1152000,258.5323486328125,348.32033330886054
1154000,251.43682861328125,431.6613804228333
1156000,216.4879150390625,466.53791950754834
1158000,299.69781494140625,413.6644409230329
1160000,266.687744140625,440.48414526859597
1162000,196.7174072265625,439.84866817556565
1164000,258.296630859375,462.7253175286187
1166000,172.75018310546875,434.8713128151865
1168000,247.34747314453125,460.73039974799843
1170000,273.31854248046875,530.222008846142
1172000,158.4095458984375,462.8334063120479
1174000,195.66485595703125,520.2190081358552
1176000,246.19073486328125,416.24736058680696
1178000,217.51043701171875,491.5746371983009
1180000,242.94140625,524.4452799155274
1182000,176.216064453125,414.3050331654647
1184000,213.97235107421875,408.5182960075503
1186000,238.08233642578125,473.34657587320453
1188000,292.41326904296875,488.08955687984724
1190000,245.64044189453125,426.54650135619926
1192000,241.7293701171875,392.3239221773932
1194000,258.83563232421875,530.6530004324063
1196000,219.7296142578125,453.58001092385825
1198000,203.1102294921875,461.5136608513974
1200000,278.2943115234375,592.042960690646
1202000,236.8818359375,453.1765322053416
1204000,188.2591552734375,459.32341545998605
1206000,282.38592529296875,475.78701677498685
1208000,301.878173828125,456.6449709350758
1210000,271.4052734375,452.0902666856796
1212000,224.0426025390625,444.0003430974057
1214000,193.72186279296875,470.9772642390183
1216000,232.6246337890625,468.99699623459264
1218000,170.497802734375,515.6352815594089
1220000,195.09088134765625,425.5388370373304
1222000,233.0362548828125,427.18071228952255
1224000,211.88848876953125,465.77379039865826
1226000,178.8746337890625,537.327978602118
1228000,250.33270263671875,451.8738586603925
1230000,277.87591552734375,488.46063542485484
1232000,280.806640625,414.47352917117814
1234000,271.62274169921875,535.9117408015805
1236000,295.034912109375,416.62175026616245
1238000,271.0098876953125,412.40558033337
1240000,232.71405029296875,486.2771431710792
1242000,217.490478515625,387.7034530810568
1244000,142.43695068359375,370.14923121286307
1246000,258.46112060546875,437.3277814359545
1248000,251.15301513671875,437.6933606606715
1250000,244.04901123046875,512.0733111864685
1252000,243.8646240234375,460.0969712070038
1254000,226.628662109375,478.3621760229829
1256000,237.65753173828125,465.36510103320313
1258000,277.08355712890625,417.74125261114904
1260000,256.976318359375,455.9477793445175
1262000,322.20184326171875,441.2096151213549
1264000,289.94451904296875,441.62814967312
1266000,247.07757568359375,444.21181422958495
1268000,270.401123046875,353.20007933247916
1270000,235.573486328125,468.7075594343694
1272000,298.90667724609375,465.905722164403
1274000,349.82794189453125,479.71202857512566
1276000,257.83563232421875,391.2964528552562
1278000,279.7991943359375,505.694278519145
1280000,307.2532958984375,462.29759362990836
1282000,390.7476806640625,483.0650966014494
1284000,325.1065673828125,379.4163350726344
1286000,263.28985595703125,377.1033020794381
1288000,315.04998779296875,393.68371038332793
1290000,256.0615234375,435.72268916636693
1292000,278.4002685546875,458.57126423172565
1294000,218.72735595703125,428.96826415855514
1296000,283.683349609375,446.66476753147543
1298000,266.22314453125,384.31600653643505
1300000,311.73321533203125,429.9547089260758
1302000,233.8272705078125,431.66276908205685
1304000,277.0535888671875,410.19158831127453
1306000,226.63079833984375,411.24109321054937
1308000,334.923583984375,430.99494587898283
1310000,365.24993896484375,466.15567255672784
1312000,276.2955322265625,533.3880221234955
1314000,243.88232421875,448.0702387670388
1316000,300.65936279296875,460.960867522627
1318000,300.7606201171875,429.25735274735706
1320000,246.07623291015625,445.46178609247295
1322000,284.43865966796875,400.97699382234487
1324000,237.986083984375,472.88746367163424
1326000,284.0286865234375,445.5239237236891
1328000,252.510986328125,484.71502197888583
1330000,314.3807373046875,498.41654106545957
1332000,265.10302734375,397.8972114956449
1334000,246.69647216796875,575.1102848473398
1336000,262.3616943359375,422.6515345366994
1338000,224.8035888671875,437.44712760851496
1340000,283.74041748046875,433.42116407794356
1342000,152.0263671875,446.5658242631549
1344000,322.35247802734375,502.9962246905599
1346000,302.41021728515625,390.31346070069407
1348000,184.51715087890625,445.7931433501657
1350000,188.45989990234375,485.9822639913482
1352000,241.318115234375,462.32283973154284
1354000,224.47723388671875,449.19824522336216
1356000,207.1993408203125,526.0908443227779
1358000,255.52032470703125,490.9573540452752
1360000,243.6319580078125,443.32243811079076
1362000,245.03924560546875,396.94081442156255
1364000,247.37945556640625,486.0250391661265
1366000,264.91546630859375,416.2916081885517
1368000,214.6304931640625,441.4333589970738
1370000,243.24493408203125,572.0883930002287
1372000,237.8863525390625,470.7173038989539
1374000,252.28436279296875,422.22275380137864
1376000,192.92987060546875,432.89589761146493
1378000,258.10406494140625,391.9994204191307
1380000,192.5892333984375,447.98155179138945
1382000,239.93829345703125,433.32375556796705
1384000,354.65643310546875,455.84083752214303
1386000,206.7169189453125,520.4462536491919
1388000,191.0003662109375,462.04950760629646
1390000,216.8690185546875,470.15968197640035
1392000,225.9189453125,452.66549721015207
1394000,258.57586669921875,466.3563691579291
1396000,212.3734130859375,407.22244837676703
1398000,266.72247314453125,429.6283440268608
1400000,209.01446533203125,414.99829562148534
1402000,274.11322021484375,388.55814291534426
1404000,236.332763671875,425.59148339928754
1406000,287.79669189453125,383.9141202906306
1408000,247.86810302734375,417.0084891786224
1410000,281.08099365234375,518.2858524702671
1412000,312.90606689453125,454.40306060949723
1414000,189.2120361328125,455.2832411699109
1416000,226.6458740234375,459.6382190884147
1418000,325.58697509765625,526.893763637248
1420000,257.639404296875,429.5400690650477
1422000,250.88275146484375,420.9423956036869
1424000,262.88922119140625,388.8486686235918
1426000,195.5372314453125,471.2240507179895
1428000,226.71026611328125,435.67586108339407
1430000,173.26678466796875,398.2958236446882
1432000,232.730712890625,383.70720086380777
1434000,256.83306884765625,451.0993923194006
1436000,234.54193115234375,482.1500742046156
1438000,318.23028564453125,480.0099405209897
1440000,253.32159423828125,506.8700325328953
1442000,250.8980712890625,447.0916247835606
1444000,228.331298828125,463.9007278954512
1446000,214.1658935546875,422.517163740334
1448000,257.76629638671875,416.0352223011395
1450000,223.08758544921875,467.1556515501041
1452000,214.96844482421875,438.8834573249783
1454000,290.206298828125,396.4468316559023
1456000,226.587158203125,457.4733399546458
1458000,167.05535888671875,373.33825917963884
1460000,284.41748046875,463.80502191032997
1462000,235.54345703125,515.2622241515551
1464000,255.2208251953125,434.16609102008204
1466000,211.95599365234375,504.5489932672933
1468000,209.3238525390625,522.1095975682196
