Warning: 'advanced_options.json' have been modified after configuration by elwood. This is possible but not recommended.
#"Step","Time Remaining"
20000,--
40000,1:13
60000,1:12
80000,1:11
100000,1:11
120000,1:10
140000,1:09
160000,1:09
180000,1:08
200000,1:07
220000,1:06
240000,1:06
260000,1:05
280000,1:04
300000,1:04
320000,1:03
340000,1:02
360000,1:01
380000,1:01
400000,1:00
420000,0:59
440000,0:58
460000,0:57
480000,0:57
500000,0:56
520000,0:55
540000,0:54
560000,0:54
580000,0:53
600000,0:52
620000,0:51
640000,0:51
660000,0:50
680000,0:49
700000,0:48
720000,0:48
740000,0:47
760000,0:46
780000,0:45
800000,0:45
820000,0:44
840000,0:43
860000,0:42
880000,0:42
900000,0:41
920000,0:40
940000,0:39
960000,0:39
980000,0:38
1000000,0:37
1020000,0:39
1040000,0:38
1060000,0:37
1080000,0:36
1100000,0:36
1120000,0:35
1140000,0:34
1160000,0:33
1180000,0:32
1200000,0:31
1220000,0:31
1240000,0:30
1260000,0:29
1280000,0:28
1300000,0:27
1320000,0:27
1340000,0:26
1360000,0:25
1380000,0:24
1400000,0:23
1420000,0:23
1440000,0:22
1460000,0:21
1480000,0:20
1500000,0:19
1520000,0:19
1540000,0:18
1560000,0:17
1580000,0:16
1600000,0:15
1620000,0:15
1640000,0:14
1660000,0:13
1680000,0:12
1700000,0:11
1720000,0:11
1740000,0:10
1760000,0:09
1780000,0:08
1800000,0:07
1820000,0:07
1840000,0:06
1860000,0:05
1880000,0:04
1900000,0:03
1920000,0:03
1940000,0:02
1960000,0:01
1980000,0:00
2000000,0:00
