#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
2000,414253.86260813044,499.0924198146554,249.56004926616257,1.147935175939277
4000,414452.55010813044,498.26634810466385,250.16740174240454,1.1451482370063226
6000,413400.30010813044,501.1088077384949,248.27423518966728,1.1538803405956066
8000,414869.98760813044,500.1428795115661,249.49398632984943,1.1482391350428023
10000,413335.86260813044,496.61806107012626,247.84155414035098,1.1558947814680667
12000,413901.30010813044,496.2897402066916,248.9353351132844,1.1508159696629547
14000,413496.61260813044,501.89471697217857,248.1631137416205,1.1543970203405793
16000,415381.80010813044,491.5030629692429,250.24780372227883,1.1447803129560998
18000,413765.30010813044,498.4797131520704,251.29094247660953,1.1400281929717098
20000,413861.30010813044,500.2822397379211,250.16229739913393,1.1451716027563104
22000,412630.17510813044,496.5233084682896,248.88022609884442,1.1510707923737986
24000,413124.11260813044,502.41833227899843,249.49338845817243,1.1482418866173487
26000,413887.30010813044,501.84412639186746,249.15717908403224,1.1497913089036356
28000,413535.11260813044,498.91605858371145,248.42630972404083,1.1531739910317709
30000,413934.80010813044,500.17414461520116,249.2730590312276,1.1492568036639628
32000,414669.61260813044,498.2446153167032,250.6215251285679,1.1430732412740863
34000,413173.36260813044,501.30229754711695,249.39625336644042,1.148689104967591
36000,414965.36260813044,493.1679696642991,248.14255518934095,1.1544926618619455
38000,415208.55010813044,507.9568910730389,249.65099976038329,1.1475169710384947
40000,413673.55010813044,497.7464115062807,248.82146866299888,1.1513426096273498
42000,414359.17510813044,502.5268820654445,249.1080042899164,1.1500182817423956
44000,414066.86260813044,497.8365347049293,247.58836160328096,1.157076839988147
46000,413873.98760813044,496.10392050517254,250.18851345263636,1.1450516057205034
48000,413530.92510813044,501.0179145825799,249.1454274414724,1.1498455420341387
50000,414785.92510813044,500.3940232329266,249.83576820653977,1.1466683138217997
52000,415224.42510813044,499.2948735260181,249.26496329170027,1.1492941297430461
54000,415125.55010813044,502.3012077796207,248.79952869376447,1.1514441388447327
56000,414126.92510813044,499.70846652316243,248.24694086169075,1.1540072077721066
58000,414150.61260813044,494.22690552025034,249.45736234368255,1.1484077133272952
60000,415563.73760813044,498.43375161073055,248.00719818416883,1.1551227591750357
62000,414647.61260813044,495.73954008562043,249.6882401341357,1.1473458217650419
64000,415422.42510813044,495.6631226313882,249.93466943173578,1.1462145676432955
66000,415183.17510813044,501.80499536898304,248.37271268074642,1.1534228376770252
68000,414671.17510813044,500.483032077167,248.58601640095583,1.1524331223832487
70000,414875.55010813044,499.91056938088207,248.87199375217185,1.1511088682282353
72000,414073.55010813044,499.85528946727766,249.48996922968374,1.1482576231272483
74000,414965.05010813044,503.6236992340759,249.11809430376934,1.1499717026272722
76000,414046.92510813044,501.68346852087274,249.82413981160397,1.1467216870147328
78000,413357.92510813044,498.69347728386276,249.59761424529074,1.1477624092201117
80000,414356.98760813044,501.10804845143264,250.88262574705976,1.1418836127400678
82000,414124.73760813044,497.3615153729933,249.08206591178535,1.1501380398989705
84000,414133.30010813044,498.26037932509155,250.1156749731613,1.1453850666996686
86000,414871.86260813044,499.2775109364466,250.41175445125725,1.1440307971546528
88000,416222.42510813044,498.6903827133838,249.41554189653482,1.148600271191629
90000,414696.05010813044,501.71887224136447,251.46334301440177,1.1392466020200798
92000,414382.42510813044,498.45905902486294,251.0498219665162,1.141123131726324
94000,414055.92510813044,499.478054417427,249.03241799790925,1.1503673351642603
96000,415479.17510813044,498.4240296480315,250.03128581230794,1.1457716506598268
98000,414257.80010813044,498.66736088989325,249.54685853512026,1.1479958543395128
100000,414576.17510813044,500.7165260747594,250.31127314923972,1.144490040170758
102000,414160.73760813044,499.28438048859846,251.25907412245866,1.1401727880368728
104000,414003.05010813044,497.84212601152785,249.1769265252471,1.1497001871589438
106000,414971.30010813044,503.5454489702117,247.14048371463804,1.1591737410069611
108000,414848.42510813044,499.3459339249463,250.13374631903324,1.1453023163710885
110000,414652.86260813044,501.3486553126955,251.3854409576246,1.139599644157825
112000,414546.17510813044,502.59326444222984,251.78474966691186,1.1377923382601691
114000,415119.86260813044,495.65304858824265,250.37233703822517,1.1442109078449405
116000,415734.05010813044,501.0288029997554,251.9929723727549,1.1368521763297421
118000,414206.92510813044,498.97651326431344,251.16321332331214,1.140607954768418
120000,414386.73760813044,498.63311941540326,251.86766316179447,1.1374177830749916
122000,414293.42510813044,498.222047209137,249.685537257631,1.1473582419240085
124000,415788.92510813044,499.6110829029693,251.3549244099418,1.1397380008936715
126000,414849.23760813044,498.86735713169844,250.20750297265522,1.1449647019301248
128000,413669.30010813044,497.82615627906694,250.71398989724355,1.1426516692554007
130000,414534.80010813044,499.3519986349954,251.51751258157418,1.1390012413901156
132000,415224.17510813044,498.5220789136522,251.34588579474806,1.1397789868568162
134000,414003.92510813044,496.31322855635364,251.47003523331955,1.1392162839439919
136000,414196.23760813044,495.66067141189603,250.4832120921452,1.1437044290073226
138000,414155.67510813044,498.5120411256501,249.64187614246364,1.1475589091402343
140000,413708.36260813044,496.5565443930103,250.487390687998,1.1436853498889257
142000,414764.67510813044,494.5823917693345,249.51777935216262,1.1481296435290838
144000,413262.11260813044,497.9832821304385,249.514404182906,1.1481451742231457
146000,414152.67510813044,501.08660662115454,248.87957403170165,1.1510738081915717
148000,415204.98760813044,497.2728906053604,249.5777038337483,1.147853973576901
150000,415271.30010813044,495.10437584071934,248.79571791618454,1.151461775392281
152000,414104.11260813044,503.48128433995964,250.82250452813224,1.1421573179835445
154000,412563.55010813044,498.5929937134743,249.33582776595304,1.1489674854537124
156000,414354.11260813044,499.30827231238,248.3095633553914,1.153716172629832
158000,414668.42510813044,496.07414772568546,249.02461217330622,1.1504033941126868
160000,414052.42510813044,502.1718065861782,250.63857843751143,1.1429954672089362
162000,414211.11260813044,497.39775342163784,250.6287396439178,1.1430403371488174
164000,415609.67510813044,500.8838463640171,251.43225223076462,1.1393874752346278
166000,413611.17510813044,498.2407589365644,248.82248856126364,1.151337890390208
168000,414681.92510813044,505.3891646135069,248.86719853070267,1.1511310480172587
170000,413286.73760813044,499.7677111971815,248.47212777347198,1.1529613467267645
172000,414602.67510813044,496.9535122548734,249.79705942138628,1.146846002612472
174000,412917.73760813044,500.3481058084792,247.4334885014678,1.1578010753385453
176000,413212.55010813044,499.9321257711064,248.68360005030368,1.1519809066774733
178000,415000.67510813044,498.37189729592075,249.76330646058096,1.1470009871405216
180000,413684.17510813044,493.17557184557734,250.1151828050887,1.1453873205490928
182000,412680.42510813044,495.470815198378,249.29372796398067,1.1491615188295432
184000,414462.05010813044,497.2169121302144,248.15570332035128,1.1544314929241961
186000,414154.17510813044,497.01656822247975,248.2926030975047,1.1537949801479448
188000,415167.42510813044,497.24418339536624,249.11034035344562,1.150007497301404
190000,414572.30010813044,496.53178972800373,248.4172313327665,1.1532161336989353
192000,414598.23760813044,499.39051233064794,247.96459507674217,1.1553212222620133
194000,414337.80010813044,493.1520271707857,249.77071428220322,1.1469669688260138
196000,413584.05010813044,492.96911000644826,248.97464555259063,1.1506342681036348
198000,414071.80010813044,495.9526878506306,250.7700143450267,1.142396389815609
200000,413789.55010813044,497.3375971473841,249.09185515109715,1.1500928397999657
202000,412891.11260813044,497.9554695975764,248.2492087377944,1.1539966653603773
204000,413587.98760813044,491.6234337565878,249.79140551146577,1.1468719609274836
206000,413390.55010813044,501.4945314167637,247.93306644583907,1.15546813972209
208000,414403.67510813044,499.055108545207,247.3464004645524,1.1582087247832122
210000,412964.67510813044,497.2550296060772,246.5872701815667,1.1617743237549425
212000,413035.92510813044,500.6638965097733,246.35376010012442,1.1628755288546633
214000,412736.92510813044,493.8760000921795,247.39505346834505,1.1579809500856604
216000,412780.42510813044,496.2305049145612,248.8138157478115,1.1513780221598757
218000,413622.17510813044,498.4817790044533,247.26252871498713,1.1586015905870775
220000,413268.30010813044,496.5002764390447,249.0872377115755,1.150114159576044
