#"Step","Time Remaining"
10000,--
20000,17:25
30000,17:23
40000,17:20
50000,17:19
60000,17:23
70000,17:24
80000,17:23
90000,17:21
100000,17:19
110000,17:16
120000,17:14
130000,17:11
140000,17:08
150000,17:06
160000,17:03
170000,16:59
180000,16:56
190000,16:53
200000,16:49
210000,16:46
220000,16:42
230000,16:38
240000,16:35
250000,16:31
260000,16:27
270000,16:23
280000,16:19
290000,16:15
300000,16:11
310000,16:08
320000,16:04
330000,16:00
340000,15:57
350000,15:53
360000,15:49
370000,15:45
380000,15:42
390000,15:38
400000,15:34
410000,15:30
420000,15:26
430000,15:22
440000,15:18
450000,15:14
460000,15:10
470000,15:06
480000,15:02
490000,14:58
500000,14:54
510000,14:50
520000,14:46
530000,14:42
540000,14:38
550000,14:34
560000,14:30
570000,14:26
580000,14:21
590000,14:17
600000,14:13
610000,14:09
620000,14:05
630000,14:01
640000,13:57
650000,13:53
660000,13:48
670000,13:44
680000,13:40
690000,13:36
700000,13:32
710000,13:27
720000,13:23
730000,13:19
740000,13:14
750000,13:10
760000,13:06
770000,13:02
780000,12:57
790000,12:53
800000,12:49
810000,12:44
820000,12:40
830000,12:36
840000,12:31
850000,12:27
860000,12:23
870000,12:18
880000,12:14
890000,12:09
900000,12:05
910000,12:01
920000,11:56
930000,11:52
940000,11:48
950000,11:43
960000,11:39
970000,11:35
980000,11:30
990000,11:26
1000000,11:21
1010000,11:17
1020000,11:13
1030000,11:08
1040000,11:04
1050000,10:59
1060000,10:55
1070000,10:51
1080000,10:46
1090000,10:42
1100000,10:37
1110000,10:33
1120000,10:28
1130000,10:24
1140000,10:20
1150000,10:15
1160000,10:11
1170000,10:06
1180000,10:02
1190000,9:57
1200000,9:53
1210000,9:48
1220000,9:44
1230000,9:39
1240000,9:35
1250000,9:30
1260000,9:26
1270000,9:21
1280000,9:17
1290000,9:12
1300000,9:08
1310000,9:03
1320000,8:59
1330000,8:54
1340000,8:50
1350000,8:45
1360000,8:41
1370000,8:36
1380000,8:32
1390000,8:27
1400000,8:23
1410000,8:18
1420000,8:14
1430000,8:09
1440000,8:05
1450000,8:00
1460000,7:56
1470000,7:51
1480000,7:47
1490000,7:42
1500000,7:38
1510000,7:33
1520000,7:29
1530000,7:24
1540000,7:20
1550000,7:15
1560000,7:11
1570000,7:06
1580000,7:01
1590000,6:57
1600000,6:52
1610000,6:48
1620000,6:43
1630000,6:39
1640000,6:34
1650000,6:30
1660000,6:25
1670000,6:20
1680000,6:16
1690000,6:11
